Radar_Type,Azimuth,Elevation,Range,Speed,RCS,Power,Noise,Threat_Type,Attack_Severity
Back,-0.025447,0.017754,198.177,13.051,546.712,134.942,113.198,Normal,None
Back,-0.040239,-0.075928,165.965,39.115,333.423,124.41,103.129,Normal,None
Front,-0.210684,0.067418,194.803,32.578,89.773,155.162,103.439,Normal,None
Back,0.103216,0.094967,139.823,36.01,510.23,115.156,115.917,Normal,None
Back,-0.059726,-0.003126,83.101,26.493,100.668,137.56,100.033,Normal,None
Front,0.218522,-0.093401,190.054,-8.425,65.412,121.503,113.097,Normal,None
Back,-0.233784,0.046567,140.923,-9.003,985.297,122.096,102.272,Normal,None
Front,-0.18819,0.092505,56.755,15.584,263.329,133.256,117.23,Normal,None
Front,0.02632,0.048322,21.2,15.171,939.192,134.435,113.649,Normal,None
Front,0.287249,0.033303,127.368,7.961,656.421,154.521,100.72,Normal,None
Front,0.08824,0.092357,51.942,17.328,155.069,157.085,115.894,Normal,None
Back,0.177572,0.060318,54.273,16.562,612.172,125.094,119.455,Normal,None
Front,0.273475,-0.067061,130.091,-1.787,548.249,138.988,114.744,Normal,None
Back,0.004199,0.031078,25.696,38.107,978.607,106.479,105.653,Normal,None
Back,0.092441,-0.014556,192.727,23.872,383.404,109.116,106.68,Normal,None
Front,0.012923,0.019454,146.17,27.11,469.957,102.656,109.817,Normal,None
Back,-0.213376,-0.056228,92.484,30.155,162.244,100.498,116.348,Normal,None
Back,0.299438,0.040108,27.705,34.223,849.477,115.854,118.032,Normal,None
Back,0.063132,0.03082,121.565,5.52,450.063,144.702,110.082,Normal,None
Back,0.240942,0.080984,106.671,18.338,236.122,156.862,109.984,Normal,None
Front,-0.028336,-0.02639,161.231,25.12,493.9,131.867,117.895,Normal,None
Back,-0.174122,0.04681,40.448,1.396,86.388,142.055,117.879,Normal,None
Front,-0.235982,0.010415,39.15,15.425,755.321,136.034,119.118,Normal,None
Front,-0.263783,-0.009422,82.877,22.638,106.647,143.0,109.461,Normal,None
Front,-0.123843,-0.07917,33.933,6.639,849.222,126.248,106.563,Normal,None
Front,0.208089,0.049777,22.74,21.186,254.75,116.916,112.713,Normal,None
Front,0.257209,0.085317,163.551,-3.207,318.211,138.616,102.613,Normal,None
Back,-0.108339,0.090849,160.62,19.359,552.591,150.407,106.961,Normal,None
Front,-0.051414,-0.023371,191.012,-3.019,655.562,151.599,104.73,Normal,None
Front,0.12754,-0.042702,56.41,9.198,232.077,148.797,107.272,Normal,None
Front,-0.183012,0.004308,193.363,25.353,235.931,115.369,112.548,Normal,None
Back,-0.256733,0.097647,143.549,11.608,412.414,128.859,113.589,Normal,None
Front,-0.248362,-0.000494,117.814,12.19,959.847,117.065,112.436,Normal,None
Back,-0.158799,-0.081346,196.14,7.036,163.628,126.092,109.823,Normal,None
Front,0.131552,0.079014,195.342,29.2,858.304,101.655,115.562,Normal,None
Back,-0.237219,0.013156,117.085,35.169,559.972,118.931,100.219,Normal,None
Front,-0.148878,0.054749,34.336,9.169,255.643,146.851,114.866,Normal,None
Front,-0.038412,-0.031962,113.454,5.321,394.48,126.819,118.45,Normal,None
Front,-0.10243,-0.050698,111.962,31.073,550.692,159.69,114.562,Normal,None
Back,-0.068566,0.017863,96.891,-9.543,657.461,127.93,103.678,Normal,None
Front,0.225671,-0.072789,70.733,11.471,774.293,153.798,117.03,Normal,None
Back,-0.240202,0.096612,108.097,27.693,749.642,143.844,111.062,Normal,None
Front,0.099005,-0.044723,137.298,9.097,350.734,102.878,102.353,Normal,None
Back,0.105884,-0.017226,56.405,18.879,439.879,158.058,117.765,Normal,None
Front,0.238524,0.070054,37.381,36.122,559.995,154.182,101.695,Normal,None
Front,0.081093,0.03968,99.152,10.753,133.353,140.388,108.845,Normal,None
Front,0.04887,0.066395,88.016,28.936,962.273,139.142,101.726,Normal,None
Front,-0.029101,0.0708,58.129,18.799,281.872,107.545,107.409,Normal,None
Back,0.139003,-0.084684,42.367,29.176,384.933,135.962,118.643,Normal,None
Front,-0.026341,0.01444,146.477,33.219,961.623,150.68,102.463,Normal,None
Back,0.290536,0.019116,77.546,8.77,863.455,109.603,115.341,Normal,None
Back,-0.03381,0.052812,116.088,-8.752,36.403,158.06,108.405,Normal,None
Front,-0.088683,0.030189,127.917,24.155,439.931,134.761,115.505,Normal,None
Front,0.098738,0.096212,78.008,-8.564,566.489,142.343,103.022,Normal,None
Front,-0.199965,0.054278,102.232,16.004,305.272,143.254,100.995,Normal,None
Back,-0.276255,-0.08911,161.847,21.343,278.848,124.885,109.242,Normal,None
Back,-0.050265,0.036014,36.896,13.666,867.903,102.595,102.93,Normal,None
Front,-0.166361,-0.000667,95.952,25.976,778.682,157.757,108.879,Normal,None
Front,0.224937,0.002865,40.796,21.567,815.095,139.795,100.776,Normal,None
Back,-0.299463,0.080006,124.483,11.796,753.441,120.621,101.21,Normal,None
Front,0.085384,-0.099396,27.073,36.97,567.982,107.086,104.057,Normal,None
Front,-0.107296,0.074942,187.72,-1.575,644.038,135.769,116.605,Normal,None
Front,0.098948,0.085687,27.063,3.74,768.685,155.579,114.569,Normal,None
Back,0.021813,0.027714,132.139,-4.585,240.527,145.666,116.273,Normal,None
Back,-0.207136,0.02866,139.069,12.539,797.363,136.911,113.808,Normal,None
Front,-0.258604,0.022808,67.093,31.848,430.673,114.339,119.541,Normal,None
Front,-0.22129,0.056865,106.349,9.341,943.313,107.764,113.693,Normal,None
Back,0.115205,0.031414,175.468,25.88,262.663,155.879,107.944,Normal,None
Front,-0.132576,-0.038282,63.527,26.272,134.092,121.334,119.662,Normal,None
Back,0.048095,0.054442,166.681,12.778,889.379,138.39,107.899,Normal,None
Front,-0.26383,-0.054131,172.468,4.915,770.691,151.396,119.794,Normal,None
Back,0.016831,-0.023207,35.442,-1.57,597.591,129.061,102.497,Normal,None
Front,0.020977,-0.073013,67.823,-6.729,505.704,104.963,102.224,Normal,None
Front,-0.100846,0.061299,148.673,32.328,442.341,157.191,102.064,Normal,None
Back,-0.160005,-0.034538,103.02,-3.479,354.891,100.715,102.913,Normal,None
Back,-0.248426,0.006152,58.782,-6.62,137.969,133.619,105.951,Normal,None
Front,0.194944,0.002902,78.07,30.11,284.251,143.569,101.513,Normal,None
Back,0.035072,0.093472,42.057,37.402,807.018,138.088,100.246,Normal,None
Back,-0.203754,-0.078326,168.948,30.743,131.916,120.51,110.738,Normal,None
Front,0.189056,0.057931,41.676,2.488,879.539,158.832,119.564,Normal,None
Back,-0.14841,-0.054951,50.689,34.093,661.217,152.038,118.736,Normal,None
Front,0.198802,-0.077603,132.983,-6.78,292.147,137.938,111.927,Normal,None
Back,0.001183,-0.09942,26.427,17.945,445.029,112.221,105.662,Normal,None
Front,0.075307,-0.011766,49.407,-7.409,382.436,114.151,110.432,Normal,None
Back,-0.293022,0.013564,69.94,18.354,455.053,101.614,119.113,Normal,None
Back,0.222553,-0.019015,137.686,5.627,116.94,151.552,101.927,Normal,None
Back,0.245878,0.094488,63.647,9.117,445.551,129.136,115.697,Normal,None
Front,0.155049,0.045233,108.487,35.023,239.299,124.089,103.315,Normal,None
Back,-0.093289,0.061956,67.596,7.271,593.889,109.896,103.312,Normal,None
Back,0.232144,0.097675,74.375,12.381,564.292,108.875,118.305,Normal,None
Back,0.278633,-0.048378,199.658,23.393,946.1,130.289,112.383,Normal,None
Back,-0.089446,0.090189,77.096,28.57,547.339,104.001,109.517,Normal,None
Back,-0.134526,-0.078136,74.698,37.669,763.3,120.718,109.318,Normal,None
Back,0.196363,-0.08351,177.679,3.517,687.343,136.589,114.955,Normal,None
Front,-0.288544,-0.089307,196.418,20.601,425.169,123.778,106.667,Normal,None
Back,0.131241,0.086866,52.188,31.022,784.249,128.956,110.554,Normal,None
Front,-0.192764,-0.007276,152.543,19.393,167.04,118.026,105.578,Normal,None
Back,-0.194963,-0.093881,25.687,-1.62,715.995,116.979,100.285,Normal,None
Back,0.151509,0.063333,70.055,24.108,175.848,112.578,103.061,Normal,None
Back,-0.201877,-0.093265,185.845,2.386,429.071,139.861,101.838,Normal,None
Front,-0.163323,0.09262,156.162,34.175,765.321,100.352,114.949,Normal,None
Back,0.125697,-0.087247,124.658,0.791,911.661,151.523,115.67,Normal,None
Back,-0.167237,0.086966,161.707,9.491,249.688,142.667,116.79,Normal,None
Back,0.252288,-0.021581,83.485,3.837,72.86,157.147,102.228,Normal,None
Front,-0.174195,0.01725,105.347,12.497,373.248,152.412,111.79,Normal,None
Front,0.051287,0.083911,123.975,24.289,570.95,145.541,100.325,Normal,None
Front,-0.083989,-0.014562,109.057,13.899,832.695,145.295,103.778,Normal,None
Front,-0.229088,-0.083075,27.203,21.45,829.268,107.321,100.626,Normal,None
Front,0.184321,-0.017476,165.906,32.28,930.891,137.074,112.577,Normal,None
Back,0.274134,-0.072909,64.188,7.113,103.033,107.336,119.449,Normal,None
Back,0.030703,-0.027432,81.176,15.432,531.369,129.28,101.716,Normal,None
Back,-0.080312,0.054587,109.924,18.806,805.457,143.795,100.961,Normal,None
Front,-0.296225,-0.053536,188.728,30.685,917.925,125.306,119.078,Normal,None
Front,-0.130567,-0.052036,142.248,1.94,839.015,132.395,116.813,Normal,None
Back,0.203844,-0.015395,121.545,-9.67,969.375,132.579,116.9,Normal,None
Back,0.299348,-0.026569,150.404,-0.125,184.285,125.925,108.705,Normal,None
Front,0.066773,-0.094159,110.094,28.466,199.041,154.26,112.945,Normal,None
Back,0.124638,0.08269,82.294,32.739,983.205,121.674,101.382,Normal,None
Back,-0.289353,0.04549,98.233,32.405,199.372,128.485,100.56,Normal,None
Front,0.124752,-0.018133,21.984,13.88,99.356,132.727,115.228,Normal,None
Front,-0.0251,-0.002232,198.182,-8.858,363.127,109.923,100.643,Normal,None
Back,-0.035832,0.001752,145.438,34.119,523.654,150.8,112.51,Normal,None
Front,0.055297,-0.046114,92.541,36.708,803.544,118.447,108.7,Normal,None
Front,0.174676,0.074894,47.621,33.004,615.709,112.49,114.136,Normal,None
Front,0.221109,0.015769,24.627,1.564,590.658,134.741,112.004,Normal,None
Front,0.162315,0.016146,191.651,13.152,973.637,155.583,101.172,Normal,None
Front,-0.080004,0.050012,92.596,12.293,925.046,136.062,106.762,Normal,None
Front,-0.034281,0.097616,98.378,-0.528,139.701,106.471,112.613,Normal,None
Back,0.176283,0.034533,47.477,16.038,843.331,111.059,104.104,Normal,None
Front,-0.26084,0.078129,114.145,-4.465,318.639,110.982,100.191,Normal,None
Back,-0.233688,-0.016228,53.213,22.279,610.386,104.34,118.012,Normal,None
Back,-0.058,0.035674,79.19,23.249,529.428,145.507,116.302,Normal,None
Front,-0.107039,0.064453,135.761,19.003,798.039,121.863,116.862,Normal,None
Front,-0.239592,0.097349,131.862,-4.656,873.764,103.496,103.381,Normal,None
Front,-0.228644,0.040778,33.134,30.797,336.612,147.252,108.538,Normal,None
Front,0.072028,0.00715,159.822,38.916,722.259,125.222,104.173,Normal,None
Back,-0.013368,-0.077576,160.387,33.738,196.87,124.076,104.666,Normal,None
Front,-0.019615,0.087606,176.835,34.239,319.259,113.919,110.635,Normal,None
Front,0.16147,-0.039897,90.048,-1.34,171.714,129.891,113.275,Normal,None
Back,0.007228,0.066483,125.288,23.337,563.745,113.7,115.94,Normal,None
Back,-0.030261,-0.032163,152.568,-4.494,374.059,139.005,117.117,Normal,None
Back,0.26441,0.076668,169.656,-7.098,295.39,102.415,102.222,Normal,None
Front,0.273289,-0.053461,115.99,30.424,726.499,150.603,103.334,Normal,None
Back,-0.180837,-0.033098,64.549,11.664,946.843,126.514,109.333,Normal,None
Back,0.299312,-0.032345,132.543,30.092,755.898,118.75,111.585,Normal,None
Back,-0.18326,0.039316,82.621,23.083,488.525,115.296,101.227,Normal,None
Back,0.00213,-0.089152,174.866,20.632,344.65,147.982,110.332,Normal,None
Back,-0.045017,-0.067535,182.815,10.617,370.643,120.192,101.745,Normal,None
Back,0.240712,0.045782,42.426,15.962,233.299,154.861,112.816,Normal,None
Back,-0.130946,0.066212,194.681,37.94,634.257,140.47,118.171,Normal,None
Front,0.191042,0.098163,176.56,-5.237,735.118,147.134,108.098,Normal,None
Front,-0.062728,-0.000466,171.893,-4.81,41.067,113.752,113.814,Normal,None
Front,-0.182154,0.032364,22.998,24.278,233.819,129.787,105.733,Normal,None
Back,-0.232689,-0.016315,158.633,-2.852,597.772,141.436,116.326,Normal,None
Back,-0.147009,0.08184,57.399,-1.976,610.144,135.156,111.041,Normal,None
Back,0.280055,0.058337,55.198,24.615,908.411,150.0,103.97,Normal,None
Back,-0.285841,-0.042315,171.519,-7.924,647.721,104.42,103.973,Normal,None
Front,-0.063836,-0.035188,167.811,9.246,224.599,159.54,111.028,Normal,None
Back,0.070833,-0.082046,174.695,23.939,323.886,155.736,105.654,Normal,None
Back,0.080702,-0.09755,39.389,36.576,120.065,135.845,109.577,Normal,None
Front,0.215916,-0.061561,108.487,21.932,228.547,139.375,115.247,Normal,None
Back,0.110755,0.028516,160.355,19.135,85.016,150.201,115.476,Normal,None
Back,-0.072193,0.008042,120.678,25.386,114.099,134.652,114.78,Normal,None
Back,-0.019784,-0.025014,49.625,1.62,435.164,136.058,114.381,Normal,None
Front,0.211947,-0.058538,196.312,23.854,749.751,150.855,109.149,Normal,None
Front,0.01269,0.009317,157.521,33.95,192.535,117.475,106.726,Normal,None
Front,0.144915,0.002446,139.117,4.788,669.791,111.421,104.191,Normal,None
Back,0.189278,-0.078261,63.616,7.646,854.899,132.546,113.255,Normal,None
Back,0.277473,0.06068,127.244,18.147,321.43,123.01,113.543,Normal,None
Back,-0.274448,0.003875,158.446,19.161,599.193,101.187,102.981,Normal,None
Front,0.170911,-0.086047,148.121,-9.9,556.381,142.608,100.815,Normal,None
Front,0.006521,-0.057247,172.535,4.421,56.447,148.052,102.453,Normal,None
Back,0.262929,-0.048332,178.367,-6.27,359.54,112.801,110.438,Normal,None
Front,-0.060795,0.075498,83.13,20.179,691.46,119.842,109.865,Normal,None
Back,0.199877,0.019195,100.506,24.235,222.365,105.891,102.849,Normal,None
Front,-0.197396,0.048609,89.135,32.57,708.836,101.749,113.324,Normal,None
Back,-0.273524,-0.063544,181.404,3.427,672.628,147.544,110.477,Normal,None
Back,0.191247,-0.031779,121.333,-1.701,359.979,139.536,116.576,Normal,None
Back,-0.151105,-0.077865,177.498,16.078,291.496,147.8,117.036,Normal,None
Front,-0.004207,-0.076221,199.548,14.535,897.383,127.471,106.476,Normal,None
Back,0.090554,0.040187,177.049,26.578,863.631,104.505,111.784,Normal,None
Front,0.014482,0.056311,61.754,35.202,395.94,116.663,114.035,Normal,None
Front,0.047475,0.074594,116.545,-8.874,188.933,142.332,103.374,Normal,None
Front,-0.118492,-0.084499,134.935,-8.724,241.393,111.875,114.363,Normal,None
Front,-0.191693,-0.097269,121.979,24.765,709.751,139.945,114.513,Normal,None
Back,-0.089799,0.064764,45.664,19.845,792.027,123.191,115.188,Normal,None
Back,0.078928,0.071392,110.201,21.837,575.786,147.748,110.429,Normal,None
Front,-0.138842,-0.099803,59.565,24.171,540.737,158.384,117.784,Normal,None
Back,-0.099432,-0.03443,77.763,24.724,251.588,136.479,105.245,Normal,None
Back,-0.17639,0.094773,158.587,18.163,651.474,100.696,117.132,Normal,None
Front,-0.065755,0.067203,188.754,5.287,135.711,131.068,104.011,Normal,None
Back,-0.108683,0.091909,64.096,18.171,811.606,136.717,103.685,Normal,None
Back,-0.101926,0.012792,33.689,28.938,241.745,128.666,118.387,Normal,None
Back,0.239772,0.030611,122.785,33.46,75.629,153.993,117.43,Normal,None
Front,-0.296223,0.087183,179.038,20.255,603.592,128.916,112.762,Normal,None
Front,-0.287072,0.073479,98.723,10.551,721.608,118.524,113.948,Normal,None
Back,0.083336,0.059007,80.801,6.25,669.816,109.817,116.903,Normal,None
Front,0.028119,0.090749,165.326,6.892,471.778,116.454,113.193,Normal,None
Back,0.020712,0.043841,64.211,25.702,302.124,127.411,116.94,Normal,None
Front,0.009627,-0.088397,70.524,5.085,501.296,101.369,115.996,Normal,None
Back,-0.164313,-0.081718,138.958,-5.709,836.227,153.767,107.813,Normal,None
Front,0.020765,-0.023352,92.423,31.392,419.988,148.67,104.05,Normal,None
Back,0.009679,-0.099588,99.435,-0.9,172.573,142.394,106.105,Normal,None
Front,-0.296987,0.052754,183.819,8.768,114.471,113.106,100.688,Normal,None
Front,0.06241,-0.018613,114.427,8.503,872.533,133.143,105.714,Normal,None
Back,-0.04878,0.069151,64.088,23.328,716.503,124.062,109.43,Normal,None
Back,-0.020523,-0.031187,114.695,-6.305,62.986,132.098,117.515,Normal,None
Back,-0.05668,-0.010392,44.941,25.208,620.64,147.892,114.273,Normal,None
Back,-0.287659,-0.095354,115.396,32.194,356.502,122.582,107.203,Normal,None
Front,-0.19033,0.081614,35.725,26.727,18.668,139.572,101.627,Normal,None
Back,-0.166107,-0.09395,36.626,5.763,261.7,153.582,102.889,Normal,None
Front,-0.198578,-0.05394,168.041,6.201,163.223,134.769,110.46,Normal,None
Front,-0.24281,0.094614,147.332,20.289,678.058,110.113,113.273,Normal,None
Back,0.118573,-0.092332,52.051,7.448,297.894,118.632,112.309,Normal,None
Front,-0.188047,-0.034054,120.757,11.7,340.449,139.906,119.982,Normal,None
Back,-0.289002,-0.040893,178.261,4.665,4.742,111.697,108.978,Normal,None
Front,0.293968,-0.052211,100.791,16.336,259.334,134.038,109.361,Normal,None
Front,-0.116052,0.051672,87.79,10.532,871.379,112.676,106.043,Normal,None
Front,-0.116153,-0.062178,31.176,8.577,369.19,118.501,101.019,Normal,None
Front,0.155377,0.043224,97.531,-8.384,668.635,130.16,106.976,Normal,None
Back,-0.016796,0.08274,42.814,20.883,460.318,119.355,106.282,Normal,None
Back,-0.021931,-0.031447,180.862,10.9,373.81,118.285,106.822,Normal,None
Back,0.273829,0.076374,48.321,3.73,220.525,129.708,113.276,Normal,None
Front,0.224243,0.065393,47.526,29.958,825.769,159.901,109.282,Normal,None
Back,0.131631,0.010085,122.316,23.883,853.759,138.08,119.173,Normal,None
Back,0.148845,-0.091015,148.907,32.075,790.752,112.115,103.625,Normal,None
Back,0.070638,0.033753,98.009,-6.735,358.557,156.96,103.979,Normal,None
Back,0.250569,-0.060921,29.5,19.799,213.463,112.232,117.702,Normal,None
Back,-0.235964,0.067486,154.93,-6.474,803.572,155.171,102.587,Normal,None
Back,-0.274011,0.036871,90.767,34.087,75.971,118.297,114.338,Normal,None
Front,0.266439,-0.090478,119.33,17.708,810.722,153.487,111.313,Normal,None
Front,-0.181155,0.034346,119.831,9.807,909.08,105.192,108.017,Normal,None
Back,0.173682,-0.045421,168.987,25.47,519.306,111.328,119.639,Normal,None
Back,0.003102,0.031273,84.442,29.297,510.342,145.739,104.753,Normal,None
Front,-0.135646,-0.021172,41.183,36.858,882.421,152.541,102.333,Normal,None
Front,-0.245561,0.048268,42.053,18.586,84.603,144.356,115.734,Normal,None
Back,-0.162062,-0.006793,75.505,14.385,639.96,100.846,113.856,Normal,None
Front,0.091798,-0.003908,177.322,12.613,780.751,159.16,113.27,Normal,None
Front,0.005774,-0.084315,185.435,4.717,852.948,125.476,100.809,Normal,None
Back,-0.236354,0.005585,22.647,2.213,470.006,153.42,116.211,Normal,None
Front,0.14523,0.073092,98.249,18.817,142.031,116.83,106.505,Normal,None
Back,0.189516,-0.084126,161.475,30.681,573.283,110.058,112.981,Normal,None
Back,0.091572,-0.017505,83.452,25.258,584.664,134.433,100.994,Normal,None
Front,0.051067,0.031543,122.532,32.7,411.423,102.384,114.043,Normal,None
Front,-0.03796,0.045131,173.093,30.024,829.871,104.313,109.301,Normal,None
Back,0.236944,0.051261,109.006,-8.858,513.272,107.953,117.528,Normal,None
Back,0.246851,0.082489,145.093,3.92,463.32,136.376,111.846,Normal,None
Front,-0.277402,-0.049357,182.102,-8.038,64.962,137.99,101.814,Normal,None
Front,-0.244088,-0.066739,194.254,-3.229,267.172,110.814,107.215,Normal,None
Front,0.059969,0.046715,26.638,-9.081,149.328,103.051,107.448,Normal,None
Front,0.18811,0.045594,116.254,35.953,418.269,142.249,114.011,Normal,None
Back,-0.280418,0.080859,158.549,36.037,947.815,148.446,114.588,Normal,None
Front,-0.277361,0.022059,88.29,28.893,842.681,139.225,101.494,Normal,None
Back,0.181262,-0.06496,66.756,2.453,83.978,149.985,110.282,Normal,None
Back,0.279782,0.083751,126.616,6.668,570.007,110.375,118.772,Normal,None
Back,0.086923,0.086177,118.118,26.273,531.344,115.856,109.581,Normal,None
Front,-0.29344,0.065112,183.076,25.499,874.26,126.846,108.474,Normal,None
Front,-0.104384,0.096839,114.281,18.252,441.397,125.173,116.099,Normal,None
Front,0.106571,-0.012997,113.431,37.747,220.692,135.57,106.701,Normal,None
Front,0.230152,-0.009226,48.791,-7.097,77.353,116.337,117.115,Normal,None
Front,0.292819,0.006,25.679,5.273,264.854,113.58,116.569,Normal,None
Back,0.226795,-0.02067,148.329,39.928,721.916,107.911,101.745,Normal,None
Front,0.173839,0.021927,106.208,-8.081,989.564,139.231,109.641,Normal,None
Back,-0.292241,0.027536,173.911,38.421,188.836,112.255,119.703,Normal,None
Front,0.196724,0.005777,146.371,-8.047,890.495,126.151,101.972,Normal,None
Front,0.23734,-0.014299,158.95,-4.748,579.711,139.7,115.734,Normal,None
Front,-0.236694,0.032019,198.26,13.936,133.75,105.83,114.402,Normal,None
Back,0.282278,0.080867,192.415,28.574,147.419,158.379,102.589,Normal,None
Back,-0.171462,0.071508,122.681,11.555,558.942,159.749,106.375,Normal,None
Back,-0.009025,-0.050649,46.827,27.7,32.284,138.248,114.193,Normal,None
Front,-0.221029,0.06826,125.289,-1.967,699.465,134.427,102.89,Normal,None
Back,-0.080483,-0.074347,155.735,36.53,720.057,109.93,103.995,Normal,None
Back,0.1634,-0.013967,171.691,-0.128,658.933,146.995,109.23,Normal,None
Back,-0.169475,-0.084972,115.625,16.242,732.769,101.245,101.849,Normal,None
Front,-0.157695,-0.039354,123.093,31.775,325.831,156.175,102.596,Normal,None
Back,-0.008285,-0.069893,73.934,18.681,566.057,129.4,102.116,Normal,None
Front,0.067335,0.047071,124.829,30.654,934.515,157.083,108.28,Normal,None
Back,0.27616,0.050278,71.511,33.196,25.233,103.265,108.774,Normal,None
Front,-0.059462,-0.047553,91.071,12.776,721.671,125.474,114.049,Normal,None
Back,0.108394,-0.028295,122.502,14.889,498.124,108.232,116.526,Normal,None
Back,0.249199,0.051955,109.794,-8.139,800.147,127.702,108.059,Normal,None
Front,0.194793,-0.089741,66.627,22.208,620.914,151.364,105.859,Normal,None
Back,0.028121,0.057035,117.771,7.219,461.797,146.956,102.338,Normal,None
Front,0.111632,-0.079988,42.056,32.237,303.0,146.881,109.765,Normal,None
Back,-0.219455,-0.012787,65.216,25.078,502.786,108.08,110.029,Normal,None
Front,-0.164905,0.086784,33.661,-6.562,364.23,118.557,104.325,Normal,None
Back,-0.276206,0.046636,136.788,0.946,331.215,141.57,117.027,Normal,None
Back,-0.224243,0.001841,34.423,33.606,159.741,145.466,105.316,Normal,None
Front,-0.226634,0.060525,163.734,-8.159,794.373,157.452,106.378,Normal,None
Back,-0.093474,0.024553,119.263,-9.115,639.602,150.564,112.943,Normal,None
Front,-0.109428,0.014219,170.773,32.451,396.832,159.635,106.35,Normal,None
Front,-0.233111,0.059045,93.801,1.502,377.036,150.032,104.006,Normal,None
Back,0.037253,0.024984,158.423,26.037,357.639,106.424,115.782,Normal,None
Front,0.039686,-0.016634,136.897,8.968,484.718,101.291,119.13,Normal,None
Front,-0.213471,0.019102,107.515,31.721,351.486,157.065,112.967,Normal,None
Back,-0.075988,0.087148,191.087,-8.851,99.429,101.703,106.103,Normal,None
Back,-0.037891,-0.050107,158.312,18.518,316.867,117.306,110.576,Normal,None
Front,-0.028559,-0.089406,25.526,5.255,707.704,120.504,118.065,Normal,None
Front,-0.153846,-0.030523,69.699,-8.745,934.809,125.149,104.362,Normal,None
Back,0.181001,-0.03014,47.489,2.345,652.098,153.346,110.207,Normal,None
