Throttle_Position,Brake_Pressure,Steering_Angle,Vehicle_Speed,Gear_Position,Threat_Type,Attack_Severity
51.95,326.3,28.31,12.86,D,Normal,None
12.71,381.67,-16.38,15.86,R,Normal,None
62.98,163.31,-14.17,14.51,D,Normal,None
61.22,154.44,-14.87,9.35,P,Normal,None
10.69,131.92,5.93,0.69,N,Normal,None
3.12,165.72,21.96,13.6,N,Normal,None
38.34,314.87,17.64,12.95,P,Normal,None
55.76,145.21,20.0,1.8,P,Normal,None
20.48,167.23,5.66,25.75,D,Normal,None
52.18,125.98,25.03,15.48,N,Normal,None
17.58,250.31,-24.17,25.15,D,Normal,None
55.19,296.36,29.65,15.52,D,Normal,None
88.57,104.21,-16.38,8.5,N,Normal,None
13.88,439.08,-8.3,19.61,R,Normal,None
94.9,399.05,-20.97,26.33,N,Normal,None
59.79,457.16,-22.28,0.1,N,Normal,None
57.99,478.66,21.94,19.29,P,Normal,None
26.05,390.73,1.83,6.46,R,Normal,None
82.21,4.9,8.84,22.98,D,Normal,None
77.2,288.8,22.8,27.33,N,Normal,None
50.45,236.67,-20.45,11.66,R,Normal,None
65.35,54.9,-9.38,4.26,D,Normal,None
3.15,360.08,-10.84,12.8,P,Normal,None
53.16,391.21,-9.7,12.98,R,Normal,None
22.19,460.32,28.69,20.72,R,Normal,None
15.58,11.83,15.61,14.61,P,Normal,None
27.27,227.14,13.89,13.93,N,Normal,None
74.14,342.45,19.67,22.23,P,Normal,None
15.18,336.79,-29.2,23.55,P,Normal,None
41.82,131.22,19.51,5.42,P,Normal,None
89.49,441.04,22.94,1.76,R,Normal,None
28.99,151.33,-11.31,25.69,R,Normal,None
67.07,111.84,-27.98,10.17,D,Normal,None
72.53,449.91,-2.28,16.37,P,Normal,None
1.77,352.15,24.54,2.74,N,Normal,None
63.13,434.18,-24.46,7.43,R,Normal,None
74.08,319.52,-11.37,11.8,D,Normal,None
63.13,419.81,-6.09,13.87,P,Normal,None
99.93,155.28,-9.23,3.21,D,Normal,None
23.25,455.86,-11.66,13.43,P,Normal,None
78.23,165.82,-13.11,1.44,R,Normal,None
87.36,313.23,-14.33,20.23,N,Normal,None
86.01,423.89,-22.31,22.29,N,Normal,None
60.9,156.43,26.92,17.42,P,Normal,None
63.85,268.55,6.55,24.77,P,Normal,None
75.31,74.28,27.92,20.73,P,Normal,None
36.02,124.99,-28.5,3.63,P,Normal,None
91.45,314.27,-3.3,9.24,R,Normal,None
86.3,140.86,28.15,11.8,N,Normal,None
80.63,361.49,-23.77,5.99,D,Normal,None
62.29,89.13,-16.56,12.79,R,Normal,None
17.93,63.36,3.54,4.88,N,Normal,None
86.18,265.35,11.27,4.57,D,Normal,None
17.58,455.08,19.08,16.39,N,Normal,None
99.8,134.74,9.42,11.35,N,Normal,None
6.7,166.08,-21.29,2.3,R,Normal,None
86.9,5.84,0.32,12.3,D,Normal,None
11.45,281.24,-1.19,4.65,D,Normal,None
10.42,350.43,-0.51,1.63,N,Normal,None
34.15,426.14,-9.82,8.59,N,Normal,None
58.46,39.09,29.04,0.19,D,Normal,None
87.88,123.55,1.12,11.77,R,Normal,None
72.18,123.07,-18.15,15.74,R,Normal,None
9.31,497.48,10.32,12.1,R,Normal,None
13.74,101.65,-3.63,21.15,N,Normal,None
89.75,481.86,21.56,27.17,N,Normal,None
0.01,26.41,-19.16,15.24,R,Normal,None
26.89,342.12,22.03,4.21,R,Normal,None
57.28,168.41,-15.49,10.77,P,Normal,None
85.44,169.53,-16.08,6.09,P,Normal,None
22.6,348.63,10.15,12.77,P,Normal,None
50.11,336.43,21.48,12.03,D,Normal,None
16.45,266.75,-25.75,27.17,D,Normal,None
85.66,140.87,9.14,29.76,P,Normal,None
48.46,45.45,-25.62,12.8,D,Normal,None
52.81,207.17,5.87,22.58,R,Normal,None
13.48,301.61,-26.35,9.39,P,Normal,None
83.71,458.94,2.46,13.06,P,Normal,None
14.13,352.2,16.94,19.85,D,Normal,None
6.79,491.32,20.05,4.36,N,Normal,None
1.09,220.94,-21.03,16.75,P,Normal,None
83.36,85.69,-0.32,16.13,P,Normal,None
96.62,442.34,-3.88,18.16,R,Normal,None
39.27,64.67,-19.77,15.41,D,Normal,None
37.31,66.81,16.11,3.0,D,Normal,None
26.83,356.8,29.41,17.4,D,Normal,None
34.91,206.5,-3.04,19.04,N,Normal,None
21.42,143.37,6.94,3.09,D,Normal,None
8.41,216.18,2.65,17.6,D,Normal,None
17.47,64.92,28.0,18.97,P,Normal,None
43.39,496.19,-1.02,1.27,N,Normal,None
34.76,192.19,-13.83,18.08,D,Normal,None
69.85,96.17,-7.23,17.08,D,Normal,None
23.09,41.39,29.3,5.52,R,Normal,None
90.67,383.4,17.5,24.62,P,Normal,None
16.55,109.44,-3.76,25.52,N,Normal,None
86.7,481.63,-15.15,16.1,R,Normal,None
16.61,269.43,19.62,11.08,D,Normal,None
9.39,496.55,16.1,10.01,P,Normal,None
81.4,182.48,13.82,17.34,D,Normal,None
78.33,497.24,22.88,7.8,N,Normal,None
82.7,414.75,-17.63,11.34,N,Normal,None
72.67,470.1,29.43,16.04,D,Normal,None
76.91,45.75,-3.94,28.45,P,Normal,None
7.03,111.46,-7.55,19.82,P,Normal,None
60.42,400.09,-11.09,17.54,D,Normal,None
75.55,86.57,15.93,25.52,P,Normal,None
38.31,111.27,18.63,23.15,R,Normal,None
61.29,251.11,-17.88,10.67,D,Normal,None
87.32,147.42,20.45,16.85,P,Normal,None
45.08,84.86,-7.52,7.18,P,Normal,None
14.14,379.57,-24.21,27.82,R,Normal,None
26.16,170.3,11.12,5.17,N,Normal,None
45.24,397.22,13.95,22.62,R,Normal,None
8.45,266.67,29.26,28.35,R,Normal,None
21.85,304.96,-6.74,17.07,R,Normal,None
19.82,141.0,-17.54,12.09,N,Normal,None
23.44,178.24,7.92,14.09,D,Normal,None
52.6,131.08,17.12,16.6,R,Normal,None
52.85,368.5,-19.52,26.72,D,Normal,None
17.01,37.92,-16.7,3.11,P,Normal,None
88.33,497.39,-22.81,7.46,N,Normal,None
82.21,184.82,-28.19,28.82,N,Normal,None
41.67,468.47,-9.75,16.86,D,Normal,None
63.86,395.94,11.92,3.93,D,Normal,None
37.68,445.36,-10.05,17.35,N,Normal,None
60.73,341.65,6.37,26.25,P,Normal,None
33.25,363.92,-19.14,7.12,P,Normal,None
63.4,245.6,-7.85,23.02,P,Normal,None
37.5,469.2,10.89,8.84,N,Normal,None
36.73,458.88,-26.18,26.11,R,Normal,None
82.98,367.03,-16.49,6.96,N,Normal,None
41.06,111.95,25.89,16.92,D,Normal,None
22.35,58.6,-19.93,17.98,N,Normal,None
62.53,287.38,7.06,6.69,D,Normal,None
40.14,369.05,-28.24,4.63,D,Normal,None
55.4,494.47,-20.59,21.35,R,Normal,None
17.94,42.11,12.31,19.49,N,Normal,None
1.38,239.94,21.3,13.01,N,Normal,None
75.5,71.27,-25.02,19.26,D,Normal,None
37.23,126.88,4.64,14.33,P,Normal,None
38.35,22.48,8.07,4.93,P,Normal,None
18.83,403.44,2.84,1.01,P,Normal,None
80.45,52.73,14.95,12.93,R,Normal,None
26.64,391.13,1.64,4.51,R,Normal,None
19.2,90.31,12.49,12.68,R,Normal,None
39.52,379.31,10.37,15.61,D,Normal,None
31.27,16.88,-23.13,10.25,N,Normal,None
94.75,117.01,6.5,25.71,N,Normal,None
57.55,234.6,-27.4,22.55,P,Normal,None
49.39,95.64,-28.61,21.68,P,Normal,None
79.79,383.77,24.95,29.14,P,Normal,None
42.4,479.27,-25.69,28.27,P,Normal,None
27.76,228.9,0.74,17.82,N,Normal,None
58.2,430.8,-3.7,10.02,D,Normal,None
6.83,394.59,-21.05,14.63,P,Normal,None
30.92,298.78,15.26,19.35,R,Normal,None
34.16,411.08,-7.31,9.17,R,Normal,None
9.84,385.86,-10.93,13.12,N,Normal,None
36.17,413.28,19.17,2.82,N,Normal,None
85.56,96.73,-4.34,26.66,N,Normal,None
30.85,422.38,-17.9,24.58,D,Normal,None
16.66,287.03,-1.27,20.8,P,Normal,None
49.78,7.39,24.95,5.52,R,Normal,None
56.59,270.26,6.79,9.64,R,Normal,None
63.23,52.59,4.2,4.32,R,Normal,None
98.75,401.51,-22.84,11.68,R,Normal,None
83.69,80.06,29.41,8.44,R,Normal,None
43.22,369.31,16.3,25.48,D,Normal,None
64.5,474.26,-0.83,12.59,N,Normal,None
60.45,276.23,-6.97,3.36,P,Normal,None
18.74,485.62,-4.58,27.65,N,Normal,None
94.42,359.97,-3.86,19.91,P,Normal,None
60.59,435.34,-21.05,9.39,R,Normal,None
87.69,226.01,-22.36,18.73,N,Normal,None
14.33,199.31,-17.26,23.95,N,Normal,None
69.65,132.1,-17.42,9.33,N,Normal,None
18.63,366.87,-25.82,8.55,P,Normal,None
7.1,406.35,6.08,24.72,D,Normal,None
12.81,218.72,-21.19,2.25,R,Normal,None
13.19,404.5,-9.91,18.57,D,Normal,None
28.69,423.24,7.95,14.62,N,Normal,None
2.57,39.74,18.81,26.78,N,Normal,None
35.38,47.51,28.0,29.37,D,Normal,None
47.52,239.32,-4.27,12.07,N,Normal,None
11.17,245.81,25.48,21.01,P,Normal,None
99.59,188.01,-17.35,18.46,P,Normal,None
48.59,158.3,8.92,18.49,R,Normal,None
58.68,212.02,10.43,2.57,R,Normal,None
63.84,429.26,-20.07,1.62,R,Normal,None
59.03,253.45,-25.76,27.76,R,Normal,None
7.31,268.22,0.0,28.68,R,Normal,None
2.71,271.37,2.34,4.9,P,Normal,None
1.71,3.85,16.56,9.89,D,Normal,None
37.1,280.79,-5.9,5.79,N,Normal,None
94.71,371.1,-2.55,1.36,P,Normal,None
69.09,416.59,27.47,4.97,N,Normal,None
16.21,430.83,12.98,0.28,R,Normal,None
20.29,58.42,11.45,10.7,P,Normal,None
81.42,410.19,7.06,7.51,D,Normal,None
53.74,228.31,16.59,0.29,R,Normal,None
51.76,256.6,-28.1,11.63,P,Normal,None
60.41,40.81,-17.45,27.2,D,Normal,None
81.31,357.88,18.65,8.03,N,Normal,None
84.87,494.3,-28.18,20.57,D,Normal,None
44.05,354.26,16.55,16.66,R,Normal,None
41.4,374.35,16.37,21.6,D,Normal,None
3.41,498.19,-18.08,20.18,P,Normal,None
71.19,180.57,-19.43,23.91,R,Normal,None
16.74,437.24,-25.62,7.18,R,Normal,None
64.43,352.49,15.37,12.78,P,Normal,None
63.59,341.16,-6.72,3.75,N,Normal,None
2.23,415.47,11.2,5.38,D,Normal,None
59.3,481.21,24.08,19.69,D,Normal,None
22.65,112.7,-18.44,8.79,R,Normal,None
82.03,114.9,-9.61,18.2,P,Normal,None
42.46,32.09,21.03,0.68,D,Normal,None
44.7,132.25,8.01,8.85,R,Normal,None
53.14,447.82,-22.03,18.36,P,Normal,None
44.15,480.64,24.12,14.1,D,Normal,None
77.45,241.09,-20.85,7.53,P,Normal,None
7.44,193.26,-27.01,24.01,P,Normal,None
18.79,156.08,17.89,24.9,P,Normal,None
96.05,198.44,3.13,14.59,P,Normal,None
96.4,396.05,-14.67,27.72,P,Normal,None
62.78,256.32,-21.33,4.16,R,Normal,None
61.0,167.74,-7.74,15.61,R,Normal,None
75.67,491.98,-17.16,26.38,R,Normal,None
61.78,415.51,-19.91,5.15,P,Normal,None
80.78,324.72,-5.68,5.02,P,Normal,None
83.62,150.96,8.69,16.76,N,Normal,None
61.26,105.03,1.71,8.39,D,Normal,None
35.83,344.6,-2.92,23.04,P,Normal,None
33.41,470.04,25.42,21.62,N,Normal,None
1.47,181.06,6.56,15.13,N,Normal,None
29.97,279.34,0.4,27.31,P,Normal,None
63.44,145.38,-8.07,2.17,D,Normal,None
88.79,451.07,-22.93,24.21,R,Normal,None
19.45,236.1,-2.77,25.79,R,Normal,None
98.25,201.92,-11.29,0.27,P,Normal,None
38.06,108.05,4.13,21.94,R,Normal,None
77.35,69.06,11.85,4.27,P,Normal,None
77.85,186.54,-10.03,23.79,D,Normal,None
79.82,440.26,15.03,18.52,P,Normal,None
61.1,126.87,23.54,21.04,D,Normal,None
92.79,486.41,-5.53,8.8,R,Normal,None
84.34,14.5,-4.18,12.98,P,Normal,None
26.84,116.68,19.57,1.51,P,Normal,None
91.14,298.38,-10.53,19.2,N,Normal,None
66.04,444.16,-26.98,23.01,P,Normal,None
54.41,30.93,-9.23,11.69,D,Normal,None
52.76,155.77,6.09,16.79,R,Normal,None
72.62,472.6,27.06,1.43,D,Normal,None
