Rotation_X,Rotation_Y,Rotation_Z,Position_X,Rotation_Q1,Rotation_Q2,Rotation_Q3,Position_Y,Velocity_X,Velocity_Y,Velocity_Z,Position_Z,Bias1,Bias2,Bias3,Bias4,Threat_Type,Attack_Severity
-0.22062,-0.42752,-0.83551,4409694.73881,-0.21998,-0.0652,-0.22557,1426322.53404,4.659,1.049,-3.286,4644963.94159,0.0,0.0,0.0,0.0,Normal,None
0.10907,0.37866,0.8316,4991788.71093,-0.37227,0.45643,-0.29254,1433267.00927,-1.334,4.969,-3.695,4671437.53242,0.0,0.0,0.0,0.0,Normal,None
0.96601,-0.83746,0.91052,4326117.40079,-0.07325,-0.47069,0.2591,1432009.28004,1.031,1.871,3.296,4667615.80005,0.0,0.0,0.0,0.0,Normal,None
0.2838,0.18103,-0.13973,4871172.26219,-0.99184,0.09016,-0.18599,1475603.76285,3.275,0.625,-2.059,4681864.57528,0.0,0.0,0.0,0.0,Normal,None
0.37093,0.68995,0.24311,4908738.59965,-0.25581,-0.94448,-0.06307,1489053.85705,0.811,0.934,2.451,4656315.9529,0.0,0.0,0.0,0.0,Normal,None
-0.0473,0.57566,0.28395,4750121.15476,-0.0531,-0.20433,0.88185,1496030.99227,4.857,2.004,1.561,4677511.43041,0.0,0.0,0.0,0.0,Normal,None
0.82604,-0.06004,-0.01846,4905314.56266,0.6503,0.90854,-0.88663,1469298.11391,-0.491,2.144,-2.54,4613893.12448,0.0,0.0,0.0,0.0,Normal,None
-0.76385,-0.63005,-0.56051,4356347.07083,-0.02156,0.09461,-0.9839,1487419.24716,4.554,0.927,-1.971,4654352.67124,0.0,0.0,0.0,0.0,Normal,None
0.65498,-0.81372,0.19063,4241057.94268,0.93134,0.60512,-0.85807,1427509.60737,3.967,4.032,-1.618,4693974.15249,0.0,0.0,0.0,0.0,Normal,None
-0.70843,0.66027,0.22922,4111636.55692,0.07906,-0.20757,-0.23069,1467178.27898,2.873,1.413,2.143,4669825.10652,0.0,0.0,0.0,0.0,Normal,None
0.49468,0.91444,0.81409,4241967.76685,0.14011,-0.40474,0.17625,1461248.19404,0.969,-3.899,0.154,4669649.77307,0.0,0.0,0.0,0.0,Normal,None
0.20347,0.22766,-0.79239,4214454.77682,-0.26896,0.87447,0.35067,1477816.43466,4.92,-2.04,-3.777,4615726.97854,0.0,0.0,0.0,0.0,Normal,None
-0.37653,0.85705,0.83168,4707654.08963,-0.03673,0.58683,-0.93236,1432269.60295,1.989,-4.655,-1.138,4633701.9871,0.0,0.0,0.0,0.0,Normal,None
0.04603,-0.90795,0.27491,4878568.85903,0.96165,-0.44064,-0.5786,1443926.71228,1.953,-0.081,2.401,4659106.87533,0.0,0.0,0.0,0.0,Normal,None
0.27604,-0.69907,-0.5475,4270628.74844,-0.83333,0.2833,0.80438,1434172.95158,0.125,-0.511,4.006,4644615.55641,0.0,0.0,0.0,0.0,Normal,None
-0.77308,-0.9288,-0.77692,4991839.67851,0.18779,-0.32323,0.10239,1423282.3583,-1.87,4.254,-2.625,4694361.61428,0.0,0.0,0.0,0.0,Normal,None
0.7598,0.76682,0.71332,4402673.13066,0.6337,-0.09684,-0.34562,1415659.57616,4.41,4.566,3.377,4671888.82841,0.0,0.0,0.0,0.0,Normal,None
0.80114,0.32232,0.81279,4591049.85745,0.04659,-0.18206,-0.76344,1496065.78449,0.604,-1.034,-4.836,4633880.19546,0.0,0.0,0.0,0.0,Normal,None
0.52152,0.91604,0.64618,4593343.67721,0.34936,-0.53707,-0.8455,1497782.20355,-2.557,3.974,3.575,4685529.20369,0.0,0.0,0.0,0.0,Normal,None
-0.57818,-0.61991,0.87437,4649841.75124,0.96944,-0.01013,-0.73938,1439371.58607,-3.364,-0.552,4.811,4630688.3936,0.0,0.0,0.0,0.0,Normal,None
-0.83678,-0.17652,0.60282,4346487.81861,-0.45682,-0.65736,-0.85636,1432755.48675,0.928,-0.023,3.033,4608323.93034,0.0,0.0,0.0,0.0,Normal,None
0.07016,-0.76558,0.33089,4323187.16215,-0.33549,0.39737,0.51763,1459314.07928,4.819,-2.551,4.936,4652804.39166,0.0,0.0,0.0,0.0,Normal,None
0.89333,0.48173,-0.99276,4665601.4405,0.51408,0.97367,-0.27138,1416766.39998,3.734,-1.981,-4.557,4637026.33512,0.0,0.0,0.0,0.0,Normal,None
-0.03038,-0.13384,0.11025,4850200.32297,0.43352,0.18305,-0.77077,1495364.11886,1.565,2.149,4.752,4695450.77557,0.0,0.0,0.0,0.0,Normal,None
0.82709,0.39837,-0.69724,4148454.48426,0.55548,0.6076,0.29662,1413416.13565,-4.271,-1.854,0.576,4605583.14743,0.0,0.0,0.0,0.0,Normal,None
0.00545,-0.93721,0.16238,4434728.30279,0.75437,0.3047,-0.58856,1486874.40231,2.56,0.656,2.13,4637946.88118,0.0,0.0,0.0,0.0,Normal,None
0.45931,-0.43442,-0.56114,4493495.65809,0.06418,0.42885,-0.51399,1458346.04976,-3.908,2.577,-0.023,4680419.13176,0.0,0.0,0.0,0.0,Normal,None
-0.94356,0.50438,0.85515,4071175.02004,0.6508,-0.50825,-0.47574,1446310.1753,0.843,3.069,3.231,4698704.57327,0.0,0.0,0.0,0.0,Normal,None
0.07662,0.79388,0.39745,4783266.40935,0.25978,-0.1368,-0.72773,1495150.89077,-1.731,0.87,1.347,4670443.61584,0.0,0.0,0.0,0.0,Normal,None
0.62708,0.52762,0.20578,4453514.24306,-0.40901,0.3474,0.64261,1423715.35632,1.935,-2.477,-0.016,4683345.22569,0.0,0.0,0.0,0.0,Normal,None
-0.74806,-0.46165,-0.42867,4872959.94098,0.1656,-0.24321,0.23364,1411955.65872,4.707,4.13,-2.816,4699366.53027,0.0,0.0,0.0,0.0,Normal,None
-0.10013,0.35213,0.4856,4279831.82746,0.39961,-0.45172,-0.57729,1455949.60441,0.605,2.708,4.45,4654966.46439,0.0,0.0,0.0,0.0,Normal,None
0.32885,0.33966,0.08294,4790802.54393,-0.41952,0.96014,-0.39634,1491626.51183,0.35,2.357,-4.954,4650023.96383,0.0,0.0,0.0,0.0,Normal,None
0.75761,-0.7538,0.6559,4710046.59177,0.65461,0.7845,0.59679,1495370.26841,0.281,0.588,-1.368,4677237.96525,0.0,0.0,0.0,0.0,Normal,None
0.17233,0.18743,0.93282,4122496.44477,0.84307,0.08686,0.26829,1478183.38827,-3.876,4.227,-2.072,4651085.5219,0.0,0.0,0.0,0.0,Normal,None
0.88006,-0.5704,0.70624,4034892.63515,0.56918,-0.05133,-0.93037,1436971.8978,2.703,3.063,3.448,4618838.98341,0.0,0.0,0.0,0.0,Normal,None
-0.85245,0.12657,0.46485,4013406.37155,-0.41392,-0.20475,0.26544,1492287.34835,-3.108,4.467,-0.458,4625640.21794,0.0,0.0,0.0,0.0,Normal,None
-0.20534,0.5788,0.7448,4594575.20672,-0.90162,0.01692,-0.71202,1485656.22819,0.571,-3.842,2.357,4693030.83469,0.0,0.0,0.0,0.0,Normal,None
0.78271,-0.10894,0.37626,4813142.63166,-0.44112,0.09971,-0.63868,1437848.35536,-4.453,-0.16,4.706,4651002.8425,0.0,0.0,0.0,0.0,Normal,None
-0.36635,0.13447,0.09401,4510609.66387,0.99949,0.47916,-0.99945,1452408.51172,1.48,1.365,-3.203,4660813.75483,0.0,0.0,0.0,0.0,Normal,None
-0.49789,0.25679,0.66823,4795219.53948,0.05573,-0.63375,-0.5898,1469308.36941,-3.951,3.769,-0.619,4627215.8453,0.0,0.0,0.0,0.0,Normal,None
-0.23673,-0.14545,0.96351,4654862.55898,0.21793,-0.9063,-0.77067,1439751.36613,-2.196,-3.087,-1.167,4636868.3499,0.0,0.0,0.0,0.0,Normal,None
0.23959,-0.02851,-0.71093,4146715.86359,0.2427,-0.53201,-0.74047,1441835.36322,2.966,-3.615,-0.809,4625105.18354,0.0,0.0,0.0,0.0,Normal,None
-0.79793,-0.15942,0.16475,4946690.60282,0.56762,-0.10544,0.60429,1439891.50619,2.597,-2.403,2.525,4635935.25182,0.0,0.0,0.0,0.0,Normal,None
-0.84454,-0.45936,0.18239,4936612.45256,0.17762,-0.84661,0.06332,1456849.14069,-3.505,2.952,-2.894,4628333.37424,0.0,0.0,0.0,0.0,Normal,None
-0.0775,-0.56807,-0.35601,4065564.47699,-0.51881,0.35795,0.30892,1497315.19811,1.413,0.042,1.25,4603576.80614,0.0,0.0,0.0,0.0,Normal,None
-0.5977,-0.79583,0.63265,4999703.52506,0.48324,-0.56894,0.85342,1418569.244,-0.74,3.33,-1.206,4622663.28315,0.0,0.0,0.0,0.0,Normal,None
0.11904,0.96745,0.31905,4624254.44824,-0.97546,0.33788,0.98457,1422175.7764,2.292,-3.352,-1.156,4668173.09188,0.0,0.0,0.0,0.0,Normal,None
0.86508,0.68433,0.19348,4783972.43831,0.14856,-0.9531,-0.72119,1400447.7807,-4.025,-3.645,-0.09,4668680.57297,0.0,0.0,0.0,0.0,Normal,None
0.18895,-0.15149,0.24586,4639072.22804,0.41347,0.62672,-0.8121,1468890.11307,0.358,-2.564,1.831,4627485.48491,0.0,0.0,0.0,0.0,Normal,None
0.44786,0.2623,-0.22553,4362383.75168,0.21088,-0.23263,-0.70268,1419801.8535,-4.155,4.28,4.249,4667082.62069,0.0,0.0,0.0,0.0,Normal,None
0.79506,-0.6865,0.08579,4203181.45846,-0.98925,0.63869,-0.1837,1491338.7542,-1.101,-1.031,-0.947,4687097.17577,0.0,0.0,0.0,0.0,Normal,None
-0.17467,0.16087,-0.59698,4142481.19104,0.26537,0.54807,0.36222,1454766.08059,2.571,0.883,-3.538,4607640.69589,0.0,0.0,0.0,0.0,Normal,None
-0.0148,0.27913,0.34874,4987532.17102,0.16796,0.17731,-0.47186,1465273.90974,1.468,-0.583,0.16,4661741.95898,0.0,0.0,0.0,0.0,Normal,None
0.54582,0.26087,0.21096,4636027.71477,-0.6582,0.23101,-0.70833,1459374.20214,0.846,-2.829,-2.082,4632750.2945,0.0,0.0,0.0,0.0,Normal,None
-0.00547,0.80109,0.52472,4692631.11504,0.28058,-0.47619,0.66086,1452490.27125,-3.078,1.243,-2.544,4645948.32499,0.0,0.0,0.0,0.0,Normal,None
-0.47029,-0.73723,-0.41286,4372950.93697,-0.79923,-0.71371,0.81614,1481319.80574,-2.931,2.906,2.51,4690428.43671,0.0,0.0,0.0,0.0,Normal,None
0.23911,0.18158,-0.30675,4338337.17027,-0.26082,0.48188,0.16476,1443922.17984,4.209,3.85,-3.418,4697114.63544,0.0,0.0,0.0,0.0,Normal,None
0.66222,0.21276,0.43408,4728226.03827,0.94256,0.52987,0.69569,1419951.60028,-3.689,-4.861,-3.563,4653690.0168,0.0,0.0,0.0,0.0,Normal,None
-0.79828,0.78094,-0.49573,4486332.55884,-0.68027,0.71461,0.28851,1484484.37198,2.356,-4.045,-2.953,4687212.9394,0.0,0.0,0.0,0.0,Normal,None
-0.51943,0.84064,0.90678,4251959.30579,0.73517,-0.37802,-0.41929,1480198.14173,-3.647,3.527,-2.175,4609990.34437,0.0,0.0,0.0,0.0,Normal,None
0.34366,0.63504,0.89595,4298272.63125,-0.35134,-0.45018,-0.41497,1491993.20304,3.471,-4.049,3.974,4642494.86189,0.0,0.0,0.0,0.0,Normal,None
-0.67958,0.60825,-0.85403,4185184.71702,0.74964,-0.41932,0.9973,1434374.64318,-0.252,3.179,-1.871,4613333.83494,0.0,0.0,0.0,0.0,Normal,None
-0.58054,-0.7545,0.18654,4434246.47402,-0.23476,-0.68436,0.49093,1467689.7379,-3.815,-4.911,3.336,4688663.64532,0.0,0.0,0.0,0.0,Normal,None
-0.26953,0.41753,-0.99058,4846747.03051,0.70385,-0.77287,0.7625,1462726.39821,0.13,2.863,-1.616,4675573.90728,0.0,0.0,0.0,0.0,Normal,None
0.11667,-0.99606,-0.39084,4207436.64351,-0.75438,0.82356,0.69099,1425856.86824,-0.863,-3.045,-2.123,4663712.92926,0.0,0.0,0.0,0.0,Normal,None
-0.44347,-0.03807,-0.16184,4499798.35586,-0.35969,-0.24701,0.06571,1446140.79206,4.588,4.393,-2.348,4697302.0702,0.0,0.0,0.0,0.0,Normal,None
0.29296,0.44068,0.09492,4078242.73512,0.51313,0.18753,-0.85866,1430269.06286,0.911,-0.557,2.01,4655513.86892,0.0,0.0,0.0,0.0,Normal,None
-0.08315,-0.91909,0.36109,4235748.09501,0.4085,-0.80529,0.51095,1461417.87672,-4.495,4.24,2.134,4671234.82806,0.0,0.0,0.0,0.0,Normal,None
0.08852,0.3194,-0.30243,4996382.9789,-0.30987,-0.47905,-0.31601,1458928.12068,2.942,-4.225,0.269,4602074.69736,0.0,0.0,0.0,0.0,Normal,None
-0.66632,0.23223,-0.50917,4472878.80483,0.39797,-0.05766,-0.90989,1445983.2788,2.415,-3.942,-0.635,4631044.3668,0.0,0.0,0.0,0.0,Normal,None
0.37642,0.92002,-0.11317,4086511.25016,-0.36431,-0.91949,0.81681,1482485.42234,-1.176,0.49,2.259,4660839.2274,0.0,0.0,0.0,0.0,Normal,None
0.07977,-0.76911,0.38657,4386010.37426,-0.4103,0.69835,-0.55843,1436058.67046,-3.174,-2.787,-1.288,4687981.38894,0.0,0.0,0.0,0.0,Normal,None
0.87719,0.97722,0.54162,4848152.52922,0.25735,-0.26843,0.24728,1462686.23256,-2.245,-3.886,2.117,4687342.28061,0.0,0.0,0.0,0.0,Normal,None
-0.11372,-0.449,-0.70484,4586940.73961,0.12352,0.34592,-0.14703,1478380.9843,-3.607,-1.673,1.983,4636394.76966,0.0,0.0,0.0,0.0,Normal,None
0.95232,0.39241,0.64989,4732486.31318,0.34177,-0.9271,-0.92372,1450500.19246,-3.665,0.226,-2.396,4689783.89322,0.0,0.0,0.0,0.0,Normal,None
-0.19127,-0.40688,0.41623,4834574.90354,-0.52124,-0.78242,-0.96739,1416497.0692,-0.8,0.794,1.775,4683465.04301,0.0,0.0,0.0,0.0,Normal,None
0.67332,-0.28464,-0.51704,4675085.7223,-0.25103,0.19399,-0.16873,1490206.55702,3.701,0.612,-1.268,4604738.70675,0.0,0.0,0.0,0.0,Normal,None
-0.81571,0.66669,-0.63693,4218872.76287,0.4436,0.02732,0.04672,1416182.46494,-4.168,-4.825,-3.264,4684684.42993,0.0,0.0,0.0,0.0,Normal,None
0.74957,-0.30473,-0.57481,4767797.35987,0.19646,-0.84433,-0.57097,1496164.61102,4.604,4.1,-4.103,4664551.58053,0.0,0.0,0.0,0.0,Normal,None
-0.35748,0.5981,0.14763,4542664.15834,-0.97392,0.84733,0.17875,1493490.79408,0.221,-4.095,0.321,4664729.87297,0.0,0.0,0.0,0.0,Normal,None
-0.05687,0.02467,-0.61397,4849472.00741,0.98457,0.85463,-0.3447,1420665.93183,4.469,-3.544,-2.449,4698532.54768,0.0,0.0,0.0,0.0,Normal,None
-0.20625,0.57319,-0.74258,4209929.23636,0.45877,0.52488,-0.59904,1475772.15766,1.739,4.956,-3.203,4612293.6495,0.0,0.0,0.0,0.0,Normal,None
-0.81821,0.82683,0.92056,4003848.62416,0.9732,-0.63111,-0.2623,1473262.20419,-1.091,-0.6,4.569,4679721.97831,0.0,0.0,0.0,0.0,Normal,None
-0.11636,-0.86286,-0.38263,4006035.47494,-0.32595,0.72227,0.46673,1488173.17279,-2.95,3.227,3.406,4655065.34538,0.0,0.0,0.0,0.0,Normal,None
0.05565,-0.11558,0.7433,4595878.61118,0.44181,0.68137,-0.56444,1497755.70815,4.695,-1.418,-1.406,4699331.887,0.0,0.0,0.0,0.0,Normal,None
-0.65198,-0.1913,0.78911,4977195.75304,0.64712,0.46833,-0.47054,1470688.24535,3.95,3.28,3.976,4630748.03017,0.0,0.0,0.0,0.0,Normal,None
0.98368,0.2748,0.22414,4971167.36029,0.09371,-0.55473,-0.02454,1493624.50952,2.724,3.555,0.609,4639023.64821,0.0,0.0,0.0,0.0,Normal,None
-0.30615,-0.24121,-0.60349,4594602.95392,0.00051,-0.96195,0.39579,1435030.89149,4.586,-0.377,1.116,4619286.40332,0.0,0.0,0.0,0.0,Normal,None
0.28421,0.54731,0.11832,4223808.00686,-0.99181,-0.37491,0.64311,1410241.20681,4.377,1.028,0.131,4603919.49202,0.0,0.0,0.0,0.0,Normal,None
-0.92629,0.17178,-0.20387,4870246.41625,0.28585,-0.45593,0.42761,1493152.99587,-0.005,-3.142,-1.844,4687398.14571,0.0,0.0,0.0,0.0,Normal,None
0.38951,0.08837,0.08815,4039122.74253,0.35403,-0.92933,0.38562,1448589.11389,-2.068,-1.107,3.753,4679865.92532,0.0,0.0,0.0,0.0,Normal,None
-0.24913,-0.38453,0.97961,4281854.99588,0.33359,-0.91739,0.51587,1403655.36785,4.163,1.96,3.97,4688199.51498,0.0,0.0,0.0,0.0,Normal,None
0.53668,0.33795,-0.03576,4774858.95366,0.60171,0.15404,-0.34155,1439906.16966,0.616,2.248,1.739,4646823.01109,0.0,0.0,0.0,0.0,Normal,None
0.79338,-0.01912,0.58876,4128457.22007,0.57342,0.76303,-0.25159,1461111.36217,2.713,0.18,2.538,4631810.21206,0.0,0.0,0.0,0.0,Normal,None
-0.87829,-0.16326,-0.26831,4792597.25446,-0.8252,0.20966,-0.35688,1416953.40469,4.772,-2.884,2.159,4658269.26754,0.0,0.0,0.0,0.0,Normal,None
-0.5742,0.99582,-0.59694,4488115.67918,-0.07879,-0.51753,-0.60207,1452540.97111,3.266,-1.639,-0.693,4627598.81478,0.0,0.0,0.0,0.0,Normal,None
0.47359,-0.48609,-0.53588,4320359.39484,-0.45791,0.16721,-0.25914,1435018.94647,1.497,-0.37,-4.778,4646365.42913,0.0,0.0,0.0,0.0,Normal,None
0.15555,-0.96938,-0.42865,4415893.16355,-0.55934,0.83628,0.45925,1490542.63746,4.897,-1.295,-0.633,4690275.49743,0.0,0.0,0.0,0.0,Normal,None
0.88008,-0.25841,-0.63264,4984988.11757,-0.33238,-0.15607,-0.00274,1490880.68244,-2.596,-0.598,2.673,4629649.67514,0.0,0.0,0.0,0.0,Normal,None
0.65352,0.45462,0.11598,4320262.40357,-0.38827,0.00371,0.4585,1472210.12831,-2.199,-0.523,0.188,4622185.9732,0.0,0.0,0.0,0.0,Normal,None
0.70454,0.34798,0.62839,4858039.55115,0.26672,-0.25192,0.97361,1422901.54769,-3.602,-0.648,-1.172,4678377.34185,0.0,0.0,0.0,0.0,Normal,None
-0.49829,0.06541,0.96627,4946422.16925,0.60565,0.93382,0.122,1454357.6956,1.787,2.264,-3.877,4694985.43895,0.0,0.0,0.0,0.0,Normal,None
0.54677,-0.95625,0.95142,4267215.71587,-0.30789,-0.8779,0.87996,1486558.79429,4.345,2.251,0.527,4672799.15234,0.0,0.0,0.0,0.0,Normal,None
-0.3702,0.1262,-0.22922,4775429.66578,0.62237,0.7012,-0.32744,1453484.58019,2.605,1.221,-1.347,4605171.16024,0.0,0.0,0.0,0.0,Normal,None
-0.88183,-0.69532,0.84368,4991275.82617,-0.20297,0.688,-0.29103,1434494.84909,1.417,-4.406,-2.992,4676210.19362,0.0,0.0,0.0,0.0,Normal,None
0.51427,0.61778,-0.64311,4777788.97422,0.76871,-0.17353,0.90226,1410892.99745,1.134,2.759,-1.329,4625114.24208,0.0,0.0,0.0,0.0,Normal,None
0.20053,0.35057,0.02603,4242598.66116,-0.75682,0.3661,0.90499,1412936.44702,0.898,-3.087,3.719,4620179.38822,0.0,0.0,0.0,0.0,Normal,None
0.4701,-0.72001,0.1001,4258024.84983,-0.11083,0.60622,-0.38385,1476883.63631,0.301,0.244,-0.23,4653285.97495,0.0,0.0,0.0,0.0,Normal,None
-0.21205,0.62744,-0.19345,4447620.43666,0.3003,0.53589,0.49024,1484208.18991,1.864,-2.418,-3.251,4684785.08085,0.0,0.0,0.0,0.0,Normal,None
-0.18743,-0.17383,-0.93818,4860998.42813,-0.22411,-0.47591,-0.39,1477431.59894,0.841,1.795,2.502,4641184.95155,0.0,0.0,0.0,0.0,Normal,None
-0.15547,-0.09715,-0.89454,4687918.11709,0.74094,-0.75665,-0.04322,1447515.7022,1.17,1.448,0.239,4603258.07988,0.0,0.0,0.0,0.0,Normal,None
-0.82026,-0.54316,-0.01539,4900774.29695,-0.53381,0.37207,-0.39067,1455167.85119,0.096,-3.043,-2.514,4627329.96874,0.0,0.0,0.0,0.0,Normal,None
0.88951,-0.44351,-0.02356,4605147.25503,0.40563,-0.40318,-0.12045,1435798.06515,1.055,2.584,-3.067,4602809.43798,0.0,0.0,0.0,0.0,Normal,None
0.74997,-0.05756,0.89463,4018469.19008,-0.46841,0.40734,0.17346,1416932.87336,4.134,4.591,-4.181,4673948.02423,0.0,0.0,0.0,0.0,Normal,None
0.23919,-0.30147,-0.73388,4151261.24451,-0.75234,0.32634,0.85665,1449142.52967,-3.44,-2.542,4.481,4642173.2296,0.0,0.0,0.0,0.0,Normal,None
-0.00484,-0.51047,-0.48607,4473630.76817,-0.79789,-0.35581,0.57005,1437115.14426,0.02,2.37,-4.312,4634142.33414,0.0,0.0,0.0,0.0,Normal,None
-0.51408,0.8866,0.91464,4258774.16172,0.13391,0.71095,0.25224,1419619.99415,-3.511,-1.759,-4.266,4690671.04558,0.0,0.0,0.0,0.0,Normal,None
-0.60046,-0.10508,0.27869,4965293.94994,0.77672,0.84576,0.24079,1425978.38062,4.463,-3.209,4.912,4616721.93297,0.0,0.0,0.0,0.0,Normal,None
-0.21708,0.74293,0.45709,4305272.94586,0.78184,-0.13217,-0.88882,1447219.15202,-0.753,-1.451,2.828,4663152.36767,0.0,0.0,0.0,0.0,Normal,None
-0.39909,0.05545,0.40554,4828922.88701,0.61841,-0.08682,-0.2247,1423726.55158,1.266,-3.107,-0.035,4621176.80131,0.0,0.0,0.0,0.0,Normal,None
-0.33507,-0.48457,-0.20127,4753317.94132,0.31197,-0.8747,-0.56557,1443172.63805,0.655,-4.124,-1.02,4616011.012,0.0,0.0,0.0,0.0,Normal,None
-0.2642,-0.71581,-0.06676,4432313.95515,0.96455,-0.36792,-0.1433,1488317.82965,2.314,4.717,-1.252,4692802.74415,0.0,0.0,0.0,0.0,Normal,None
-0.60385,-0.93638,-0.90139,4565760.89646,-0.15223,-0.26586,-0.33327,1436291.88858,-1.932,4.892,-1.728,4668273.27107,0.0,0.0,0.0,0.0,Normal,None
0.35857,-0.01525,-0.09739,4361742.70853,0.24473,0.83303,0.27818,1425481.60033,0.81,-0.398,0.045,4630011.23764,0.0,0.0,0.0,0.0,Normal,None
-0.41582,-0.60784,0.00388,4806256.43431,-0.85671,0.55938,-0.38505,1435912.39119,-4.664,0.75,-1.487,4611358.90557,0.0,0.0,0.0,0.0,Normal,None
-0.32007,0.97041,0.71949,4655693.46984,0.54746,0.79326,-0.72665,1444385.37372,4.981,2.549,1.68,4679329.71058,0.0,0.0,0.0,0.0,Normal,None
0.14977,0.92259,-0.21491,4028886.05826,0.72152,-0.90175,0.52428,1436913.59823,1.381,0.985,-3.423,4635689.25466,0.0,0.0,0.0,0.0,Normal,None
0.40853,0.14193,0.01822,4709520.13002,0.66467,0.33227,-0.11783,1449572.36151,4.358,-1.29,0.678,4650908.07097,0.0,0.0,0.0,0.0,Normal,None
-0.56064,0.39808,0.0927,4117855.78717,0.74236,-0.53302,-0.98236,1470268.7589,0.984,-4.887,3.764,4690593.94788,0.0,0.0,0.0,0.0,Normal,None
0.18551,0.8578,-0.70285,4551285.78731,0.45253,0.01707,-0.67003,1467039.29981,-1.352,2.723,-0.645,4604096.55057,0.0,0.0,0.0,0.0,Normal,None
-0.36188,-0.19323,0.17237,4319735.80236,0.5365,-0.91585,0.5399,1440043.30738,0.715,-0.849,-2.461,4673096.71554,0.0,0.0,0.0,0.0,Normal,None
-0.9672,0.34173,0.42047,4316134.25809,0.06327,-0.73343,-0.60137,1475465.5528,1.251,-3.619,-3.695,4602955.15547,0.0,0.0,0.0,0.0,Normal,None
0.20322,-0.15789,0.02322,4009759.94575,0.9041,0.33152,-0.51127,1468224.86937,-0.066,2.124,4.306,4606833.75926,0.0,0.0,0.0,0.0,Normal,None
-0.18767,-0.10723,0.78042,4958363.34318,0.40293,-0.41826,-0.70927,1445494.05857,1.529,-1.015,4.576,4629840.82067,0.0,0.0,0.0,0.0,Normal,None
0.43365,0.73163,-0.6041,4037694.62123,0.0366,-0.04024,0.68593,1468725.28977,-1.476,-2.551,-0.655,4622664.83183,0.0,0.0,0.0,0.0,Normal,None
0.34485,-0.22186,0.69741,4998893.19586,0.65689,0.25371,0.71665,1449448.84496,4.817,4.304,1.978,4676044.28754,0.0,0.0,0.0,0.0,Normal,None
-0.70231,-0.03329,-0.62983,4126737.73584,0.8915,-0.56033,-0.04759,1422820.17865,3.381,-4.029,4.358,4629291.03369,0.0,0.0,0.0,0.0,Normal,None
0.78605,0.76957,0.10925,4414084.0074,-0.04177,0.72539,0.5236,1442482.429,-4.173,3.641,-2.17,4630062.58868,0.0,0.0,0.0,0.0,Normal,None
