Latitude,Longitude,Speed,Heading,Acceleration_X,Acceleration_Y,Acceleration_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z,Yaw_Rate,Threat_Type,Attack_Severity
37.393242,-121.704987,16.61,69.48,-0.256,1.42,-0.171,0.08968,0.09515,0.02231,1.64,Normal,None
37.647574,-121.838005,8.19,252.92,-0.005,1.49,-0.539,-0.0673,-0.03351,-0.04111,0.5,Normal,None
37.515856,-121.151989,16.49,59.32,2.692,0.117,0.105,0.01143,-0.00835,-0.01789,2.31,Normal,None
37.672459,-121.953111,12.04,178.99,1.568,-2.991,-0.332,0.04772,-0.07511,0.09533,4.49,Normal,None
37.976946,-121.867805,25.75,50.38,2.394,-0.191,0.171,0.03433,-0.05333,0.04941,2.12,Normal,None
37.640003,-121.693153,21.09,211.47,-1.186,-1.636,0.939,-0.09056,-0.01147,0.03604,1.81,Normal,None
37.164131,-121.236878,13.9,35.72,0.062,-0.914,0.797,-0.00168,0.01121,-0.00346,-1.48,Normal,None
37.798737,-121.370665,11.54,1.39,-0.43,-1.063,-0.911,0.06798,0.04329,0.09032,4.97,Normal,None
37.455227,-121.472293,26.04,316.17,-0.505,-2.083,0.379,0.05075,0.00233,0.07568,-3.14,Normal,None
37.69254,-121.334502,0.81,336.67,2.212,-1.17,-0.422,-0.02522,0.07636,-0.05395,4.06,Normal,None
37.319314,-121.238581,15.25,230.55,2.594,-2.813,-0.196,0.0091,-0.06822,0.0522,4.25,Normal,None
37.588055,-121.24669,8.37,319.16,-2.306,-0.481,-0.755,-0.02294,-0.03084,-0.00506,-2.6,Normal,None
37.028451,-121.829008,26.58,286.14,-0.59,-1.487,0.424,-0.05161,0.05609,0.0525,-0.23,Normal,None
37.476449,-121.639487,1.77,117.11,-0.195,-2.016,0.956,-0.02576,-0.06702,-0.07165,0.41,Normal,None
37.571706,-121.917074,14.93,144.0,1.662,2.058,0.736,0.03641,-0.02394,-0.07804,2.16,Normal,None
37.494566,-121.136141,18.68,198.98,-1.141,1.794,0.768,-0.02859,-0.03638,0.01826,-2.11,Normal,None
37.384934,-121.930395,1.05,148.08,-1.885,-1.758,-0.483,-0.03493,-0.00784,-0.08491,-0.88,Normal,None
37.858041,-121.559527,28.91,289.03,-0.057,1.741,0.615,-0.04717,-0.00638,-0.05092,4.33,Normal,None
37.185345,-121.896795,15.89,189.36,2.223,1.711,-0.823,-0.03763,-0.02089,-0.08699,3.01,Normal,None
37.118135,-121.279776,19.83,191.05,-1.747,-2.602,0.212,0.05141,-0.00716,0.06235,-0.99,Normal,None
37.366209,-121.986506,14.99,348.99,-1.873,1.285,0.635,-0.05359,-0.07623,0.05713,4.16,Normal,None
37.764889,-121.046874,3.03,184.94,-2.204,2.507,-0.996,-0.08959,0.04856,0.03813,3.55,Normal,None
37.454466,-121.529383,15.79,129.96,-2.742,0.263,-0.54,-0.07174,-0.05867,0.01282,-3.92,Normal,None
37.414895,-121.534416,12.27,168.09,2.916,1.874,0.342,0.01382,-0.07329,0.03386,1.69,Normal,None
37.849468,-121.797132,18.55,187.38,1.887,0.19,-0.948,-0.09286,0.08838,-0.03155,-2.39,Normal,None
37.008641,-121.875756,15.21,20.15,-1.827,-2.409,0.427,0.06867,-0.09984,-0.01893,-4.83,Normal,None
37.005525,-121.587929,25.14,322.31,-1.832,2.393,0.798,-0.06583,0.04667,0.05354,-1.04,Normal,None
37.02989,-121.170516,19.92,147.94,1.147,-1.006,-0.022,0.04908,-0.05319,-0.09332,-4.2,Normal,None
37.549136,-121.146011,20.54,256.94,2.433,2.158,0.713,0.09581,0.00293,0.00221,3.86,Normal,None
37.339127,-121.113918,0.27,138.89,-2.599,-0.334,-0.747,-0.01919,-0.0323,0.00517,1.71,Normal,None
37.853167,-121.534424,23.71,188.59,-2.095,1.7,0.226,0.01361,0.06786,0.09533,2.81,Normal,None
37.569173,-121.593718,17.25,219.0,-1.048,1.957,-0.252,0.03712,0.0391,-0.09922,-4.39,Normal,None
37.488796,-121.10088,6.37,70.35,-0.041,-1.097,0.098,0.08179,0.0844,-0.0583,3.05,Normal,None
37.309699,-121.941293,25.88,193.1,-2.899,2.042,-0.658,-0.02564,-0.03234,0.04057,-0.01,Normal,None
37.718028,-121.307427,18.45,189.13,-1.667,2.255,-0.172,0.01337,-0.08924,-0.09564,0.05,Normal,None
37.233843,-121.847746,20.81,145.38,1.616,1.243,-0.513,-0.03533,0.00089,-0.04459,-2.96,Normal,None
37.519286,-121.171357,28.49,37.97,-1.149,1.463,-0.922,-0.07637,0.02219,0.03858,1.15,Normal,None
37.817883,-121.685225,0.62,328.93,-2.183,-2.011,-0.605,-0.03508,0.0685,-0.05493,-4.58,Normal,None
37.623621,-121.77172,3.85,188.24,-1.261,-2.699,0.253,0.03621,0.03768,-0.00507,-3.0,Normal,None
37.497602,-121.183429,7.28,29.13,-2.668,2.318,0.344,-0.07473,-0.05693,-0.09545,2.97,Normal,None
37.607488,-121.961434,9.03,270.8,-0.267,-2.434,-0.18,-0.02577,0.04412,-0.07418,3.29,Normal,None
37.053671,-121.419597,15.2,286.38,1.114,-1.174,-0.866,0.00588,0.03898,0.04815,-1.01,Normal,None
37.549016,-121.067333,0.41,224.92,0.057,-1.46,-0.759,-0.08292,0.08504,0.03959,2.59,Normal,None
37.244645,-121.125731,1.68,77.29,1.202,-1.73,0.014,-0.01958,0.04514,0.09241,-0.06,Normal,None
37.204307,-121.392053,0.31,344.86,2.945,-0.667,-0.16,0.06896,-0.07071,-0.02091,3.43,Normal,None
37.741219,-121.287376,5.16,121.78,-2.317,-0.238,0.568,0.01673,-0.01166,-0.05532,0.94,Normal,None
37.211885,-121.399663,1.74,95.23,2.239,1.932,0.811,-0.05217,-0.02129,-0.02612,1.27,Normal,None
37.76721,-121.977271,25.63,180.25,1.74,1.357,0.988,-0.05704,-0.02463,-0.03555,1.83,Normal,None
37.739139,-121.006114,28.21,220.29,-1.573,-0.356,0.814,0.01643,-0.03782,-0.05386,3.83,Normal,None
37.527436,-121.383269,20.25,229.02,-1.725,-2.763,0.988,0.02953,0.03769,0.09778,3.6,Normal,None
37.094813,-121.729524,3.28,239.97,-0.216,-2.122,-0.941,-0.03543,-0.09922,-0.09662,-1.63,Normal,None
37.45516,-121.562338,8.74,231.5,0.806,0.854,0.186,0.04765,0.03548,0.01185,-2.34,Normal,None
37.61932,-121.451175,23.94,3.16,-2.328,1.794,0.7,0.03351,-0.05579,-0.08097,4.3,Normal,None
37.56135,-121.565356,10.42,344.09,0.3,2.81,0.496,0.02725,-0.05038,0.01869,0.81,Normal,None
37.203084,-121.072902,16.04,15.46,1.417,0.288,-0.073,-0.01014,-0.05735,0.00628,-1.13,Normal,None
37.867281,-121.437519,12.0,45.98,-1.887,-0.001,0.986,-0.03687,0.09463,0.08679,3.81,Normal,None
37.046303,-121.139376,26.91,30.18,1.615,0.734,-0.117,0.0332,-0.07617,0.07564,4.35,Normal,None
37.568805,-121.679491,19.06,80.86,1.63,-1.896,-0.214,0.085,-0.04462,-0.08447,2.21,Normal,None
37.787283,-121.060152,25.47,108.72,1.228,0.146,0.758,-0.0278,0.06368,0.09009,-0.2,Normal,None
37.452065,-121.464033,25.08,191.12,-0.72,-0.555,0.782,-0.07845,0.09853,-0.06551,1.56,Normal,None
37.255799,-121.619893,12.16,83.94,2.065,0.452,0.816,0.06903,0.05438,-0.09397,-3.3,Normal,None
37.358743,-121.346156,9.67,231.87,2.991,-0.332,0.792,-0.06845,-0.06909,0.09966,2.01,Normal,None
37.459786,-121.076242,24.99,315.59,1.884,1.184,0.8,-0.07213,-0.02651,0.03406,-3.49,Normal,None
37.341498,-121.278764,6.03,36.84,1.874,-0.229,0.955,-0.05628,0.00439,0.09176,4.38,Normal,None
37.913603,-121.748203,7.17,220.49,-2.859,-1.793,0.672,0.02842,-0.06454,0.02737,1.73,Normal,None
37.232233,-121.696189,6.07,273.62,2.024,-2.06,0.099,0.07667,-0.02484,-0.05903,-2.25,Normal,None
37.786718,-121.887586,9.82,329.76,0.036,-2.792,-0.173,-0.09476,-0.02928,0.02112,0.52,Normal,None
37.684457,-121.623727,19.73,162.13,-0.284,2.697,-0.274,0.03435,0.07801,0.03134,-3.72,Normal,None
37.756939,-121.742589,11.64,37.03,-2.782,0.64,-0.245,0.08647,0.04743,-0.06563,-2.22,Normal,None
37.56418,-121.276219,21.04,334.91,-0.177,-0.613,-0.896,-0.03507,0.09834,0.01318,3.01,Normal,None
37.100721,-121.03977,8.0,138.92,-2.928,-0.336,-0.576,-0.01783,-0.07044,0.03095,4.52,Normal,None
37.522131,-121.396951,19.27,309.93,-2.72,1.846,0.553,0.00019,-0.06969,-0.08067,-2.21,Normal,None
37.475389,-121.470845,6.78,138.35,1.36,-0.43,-0.869,-0.0129,0.00559,0.07434,4.97,Normal,None
37.026468,-121.919405,10.35,180.46,1.706,1.456,-0.392,-0.02431,0.0429,0.00365,2.01,Normal,None
37.912923,-121.99692,24.34,210.1,-2.575,2.567,-0.972,0.07401,-0.09734,0.04066,-2.6,Normal,None
37.121,-121.396736,6.5,70.73,1.154,2.561,-0.725,-0.06855,-0.06425,0.08874,-1.66,Normal,None
37.563935,-121.255019,16.07,144.07,-1.917,-2.548,-0.094,0.007,-0.001,0.06156,-2.37,Normal,None
37.931723,-121.451274,10.41,96.18,-1.938,2.021,0.97,0.03756,0.06241,0.09005,-0.44,Normal,None
37.711355,-121.873742,3.84,32.98,-2.387,2.761,-0.191,-0.0696,0.00411,0.08783,0.44,Normal,None
37.862191,-121.940675,14.73,40.75,-0.752,-2.716,-0.29,-0.02447,-0.03023,-0.00328,-1.39,Normal,None
37.345882,-121.137389,23.81,216.16,-2.232,-2.152,-0.905,0.01626,-0.07024,0.0178,-0.04,Normal,None
37.740153,-121.329609,29.95,134.8,0.113,-1.995,0.365,0.05324,-0.05327,-0.07316,-0.57,Normal,None
37.485304,-121.423948,8.66,229.71,-2.293,-0.197,0.102,0.00593,-0.09777,-0.0153,-2.13,Normal,None
37.084672,-121.94089,2.57,271.73,2.507,2.013,0.185,-0.05875,-0.05665,0.06101,3.99,Normal,None
37.803405,-121.879176,15.22,200.17,1.941,2.459,0.325,0.08644,0.07985,0.07153,-0.85,Normal,None
37.900156,-121.697157,2.4,31.32,1.666,-0.018,-0.407,0.03996,0.04252,-0.0863,-1.12,Normal,None
37.590285,-121.878243,9.21,35.05,1.779,-1.998,0.864,0.00145,-0.08603,-0.09961,-4.75,Normal,None
37.680829,-121.02284,28.78,171.27,-2.669,-0.401,0.788,-0.08259,-0.07007,-0.00167,-1.63,Normal,None
37.383678,-121.874956,7.51,93.08,1.31,2.592,0.705,-0.03912,0.03076,0.09091,1.24,Normal,None
37.587991,-121.2072,20.08,184.89,-2.727,1.602,-0.672,-0.0258,-0.08902,0.00888,3.34,Normal,None
37.857352,-121.205563,16.71,101.04,0.018,-2.094,0.71,0.0306,-0.02667,0.09006,0.91,Normal,None
37.607564,-121.567233,18.75,69.6,2.561,-1.56,-0.46,0.08984,-0.08771,0.07408,-0.93,Normal,None
37.998484,-121.262285,1.11,241.77,1.138,-1.201,-0.362,-0.07428,-0.04097,0.0354,1.52,Normal,None
37.947537,-121.886371,13.61,85.54,1.373,-2.295,-0.639,-0.01092,-0.04784,-0.07849,0.95,Normal,None
37.430495,-121.20192,12.76,93.03,1.754,0.898,0.521,-0.09696,0.00997,-0.07704,-1.08,Normal,None
37.883958,-121.967238,26.8,146.0,0.855,-1.415,0.092,0.07975,-0.07556,-0.08524,-3.99,Normal,None
37.275603,-121.930555,19.21,103.7,-0.08,-0.096,-0.147,0.08314,-0.04794,-0.05619,-3.37,Normal,None
37.510526,-121.391711,7.65,77.21,0.678,1.542,-0.81,0.09748,-0.06208,-0.06303,-5.0,Normal,None
37.524224,-121.071268,22.13,229.18,-2.301,1.797,0.481,-0.09865,0.06359,-0.06068,-1.6,Normal,None
37.895392,-121.567377,11.8,297.29,-2.896,0.117,0.806,0.00221,-0.02054,0.07723,4.65,Normal,None
37.346525,-121.331613,18.7,312.19,2.886,-1.496,-0.013,-0.09568,-0.00197,-0.08482,-2.19,Normal,None
37.67087,-121.282782,0.68,284.77,1.045,1.046,-0.265,-0.08344,-0.00398,-0.00317,1.42,Normal,None
37.413494,-121.160083,8.57,163.71,-0.705,-2.341,-0.413,0.084,-0.02151,0.05065,-1.56,Normal,None
37.854195,-121.803893,18.12,342.28,-2.556,-2.698,0.662,-0.0686,0.02916,0.07099,2.68,Normal,None
37.507024,-121.673341,21.59,171.09,1.524,-0.576,0.051,-0.08831,0.07096,0.07529,3.12,Normal,None
37.448663,-121.328327,18.3,126.93,1.314,-0.47,-0.99,-0.08814,-0.06513,0.04888,4.33,Normal,None
37.027418,-121.705773,29.58,263.21,1.932,0.928,-0.727,0.01173,-0.04877,-0.02044,-0.28,Normal,None
37.023185,-121.714894,24.73,178.28,1.231,-0.022,-0.349,0.09644,-0.09084,0.08487,-2.27,Normal,None
37.928166,-121.502719,21.82,350.54,0.869,2.226,-0.176,0.09747,-0.04094,-0.01783,-1.69,Normal,None
37.240154,-121.672241,16.57,144.91,1.095,0.999,-0.878,-0.05984,0.08873,0.02398,-0.34,Normal,None
37.285773,-121.110649,27.71,337.34,-2.391,-0.183,0.001,-0.06955,-0.00522,-0.03196,-1.76,Normal,None
37.027487,-121.869518,23.0,181.85,1.331,-1.001,0.772,0.04224,-0.00037,0.06783,-0.16,Normal,None
37.463603,-121.610117,0.29,312.06,0.899,0.988,0.094,0.01112,-0.0676,-0.09533,3.78,Normal,None
37.628641,-121.672653,12.91,124.15,2.639,2.595,-0.17,-0.06562,0.04589,0.0479,1.04,Normal,None
37.001539,-121.823046,22.28,242.43,1.16,-1.684,0.209,-0.07155,-0.04868,-0.08891,-2.11,Normal,None
37.860035,-121.597708,23.41,31.49,0.834,0.126,-0.193,-0.08955,-0.0407,-0.05532,0.08,Normal,None
37.821341,-121.405366,26.72,255.87,1.716,0.485,-0.301,-0.02661,-0.0658,0.01954,-1.55,Normal,None
37.467016,-121.471331,27.87,131.73,0.788,2.176,0.942,0.04503,0.06325,0.07304,2.21,Normal,None
37.410498,-121.479136,27.33,89.44,0.445,-1.109,-0.59,-0.06683,-0.08191,0.0599,-4.58,Normal,None
37.289837,-121.337041,20.92,197.34,0.345,0.133,0.208,0.07376,-0.04479,-0.07781,-1.35,Normal,None
37.986334,-121.672611,16.7,52.08,-1.675,2.386,0.714,0.08086,-0.0356,0.01416,4.64,Normal,None
37.71054,-121.288715,2.63,155.78,2.924,1.806,0.002,-0.00688,0.09883,-0.05969,-0.11,Normal,None
37.432925,-121.715514,12.61,88.58,0.307,0.801,-0.141,0.00376,0.0311,-0.05031,1.55,Normal,None
37.769502,-121.95372,21.2,9.07,2.171,-1.994,-0.113,0.05718,-0.03475,0.02761,-3.0,Normal,None
37.668501,-121.101509,9.89,146.31,-2.301,0.311,-0.964,-0.08492,-0.04719,-0.06395,-3.86,Normal,None
37.157993,-121.737254,26.86,193.05,-2.797,-2.022,0.508,0.07537,0.07031,0.06915,-2.0,Normal,None
37.625543,-121.727052,1.2,134.2,0.21,2.005,0.636,0.0571,-0.07555,-0.00392,-3.27,Normal,None
37.083473,-121.898558,21.34,120.77,2.379,-1.219,0.081,0.08335,-0.03463,0.08031,1.73,Normal,None
37.681897,-121.156109,20.93,334.29,2.027,1.471,-0.548,0.01192,-0.05637,0.06165,-1.72,Normal,None
37.160613,-121.140614,0.37,266.75,-0.255,2.907,0.819,0.094,-0.05975,0.02566,3.08,Normal,None
37.973893,-121.088484,25.83,71.49,-0.336,0.522,-0.212,0.00552,0.00739,-0.09033,-3.69,Normal,None
37.903846,-121.820737,20.0,115.84,2.773,-2.341,0.16,0.04192,0.07551,0.05817,0.57,Normal,None
37.854795,-121.976655,25.68,264.3,-2.565,0.978,-0.101,0.02661,-0.03816,0.03154,-2.64,Normal,None
37.394773,-121.041033,9.6,220.0,1.483,0.331,-0.07,0.09207,-0.04998,-0.07984,-3.66,Normal,None
37.939973,-121.905294,28.91,164.95,0.098,2.117,-0.738,-0.03136,0.06663,0.09086,-1.61,Normal,None
37.098492,-121.437478,5.08,95.75,0.585,-0.48,0.793,-0.09751,0.09535,0.07098,2.19,Normal,None
37.677896,-121.124985,0.12,211.7,2.662,1.382,-0.65,0.00528,-0.0081,-0.05453,-0.39,Normal,None
37.076554,-121.285983,1.07,204.47,-0.729,-2.611,-0.864,-0.09721,0.09381,-0.02042,-2.97,Normal,None
37.649086,-121.683336,21.41,162.34,1.901,1.821,-0.485,0.05348,0.01192,0.01167,1.24,Normal,None
37.61727,-121.908511,3.76,174.69,-0.399,-2.486,0.336,0.03561,0.08068,-0.04065,-3.95,Normal,None
37.838165,-121.632441,18.34,177.28,1.918,-2.585,0.888,-0.04904,0.01913,0.08072,1.73,Normal,None
37.882234,-121.648279,16.1,223.52,-2.863,-2.659,0.943,-0.07692,0.09306,0.06466,-0.11,Normal,None
37.744326,-121.260914,19.66,15.61,-1.196,0.722,-0.998,-0.00053,-0.0636,0.05099,2.97,Normal,None
37.941598,-121.032077,13.24,336.9,1.894,-0.249,0.429,0.03329,-0.09033,0.05986,0.57,Normal,None
37.729094,-121.473053,26.68,123.85,1.23,2.664,0.236,0.09627,0.01977,0.0743,-4.08,Normal,None
37.572546,-121.435445,5.21,322.97,1.722,-1.434,0.815,0.09589,-0.03652,0.06054,-3.97,Normal,None
37.36337,-121.772491,15.75,239.12,-2.694,-2.32,0.998,-0.05285,-0.0437,0.06206,1.14,Normal,None
37.444979,-121.353678,21.37,335.76,1.041,1.841,-0.072,-0.04321,0.05341,0.00202,2.71,Normal,None
37.582428,-121.42884,18.88,279.45,1.597,1.315,-0.261,-0.09336,0.06025,0.01445,-4.98,Normal,None
37.722973,-121.270918,22.41,333.28,2.517,-1.53,0.635,-0.03686,-0.00774,-0.00688,0.99,Normal,None
37.198627,-121.9414,25.37,104.47,0.496,0.737,-0.357,-0.02888,0.01866,-0.00103,4.14,Normal,None
37.992972,-121.610011,17.74,86.29,2.33,-2.713,-0.967,0.00239,0.08686,0.09161,2.42,Normal,None
37.359615,-121.507894,4.3,193.79,-2.055,0.507,-0.075,-0.09191,0.02094,0.04215,-2.8,Normal,None
37.891102,-121.122109,28.84,112.67,-1.263,-2.103,0.753,-0.03707,-0.09454,0.03189,4.05,Normal,None
37.71473,-121.60614,29.51,316.94,2.73,2.575,0.604,-0.01178,-0.01764,0.06794,2.24,Normal,None
37.328753,-121.843293,4.41,289.56,-2.621,2.748,-0.067,-0.01706,-0.02625,-0.04866,0.62,Normal,None
37.150054,-121.456839,12.58,327.71,-1.533,1.395,-0.287,0.03313,0.07308,0.04334,-2.54,Normal,None
37.654975,-121.898006,10.11,127.01,0.967,-1.074,0.63,-0.05228,0.05863,0.03827,1.4,Normal,None
37.54223,-121.850883,26.22,99.64,-0.152,2.02,0.567,0.08499,-0.07926,-0.01659,-2.53,Normal,None
37.702068,-121.556834,17.72,163.51,-2.472,-0.979,0.398,-0.04917,-0.09847,-0.07674,2.06,Normal,None
37.309928,-121.64708,11.87,228.63,-1.767,-0.751,0.417,-0.00942,-0.09112,0.02536,2.05,Normal,None
37.178813,-121.92959,6.25,116.19,-2.941,-1.086,-0.851,-0.07559,0.0143,0.08626,-2.56,Normal,None
37.925702,-121.808019,8.22,82.82,1.477,-0.937,0.411,0.07577,-0.06642,0.02683,2.61,Normal,None
37.305995,-121.912082,23.39,179.78,1.199,2.857,-0.089,0.0265,-0.08115,0.02143,0.86,Normal,None
37.551797,-121.204996,26.67,185.55,1.238,2.813,0.178,0.01084,-0.04975,-0.05202,0.51,Normal,None
37.49999,-121.609686,2.61,58.55,-0.619,1.575,0.816,0.06682,-0.03965,0.0939,0.19,Normal,None
37.905107,-121.714698,7.24,187.88,2.564,0.833,-0.235,-0.04965,-0.01897,0.04219,2.68,Normal,None
37.867392,-121.032517,3.14,81.63,2.568,-2.719,0.012,0.03513,-0.03287,-0.09926,0.94,Normal,None
37.655949,-121.162706,17.52,3.92,2.283,-2.203,0.732,-0.04794,-0.08267,-0.07129,1.52,Normal,None
37.706977,-121.814915,20.02,226.55,-1.343,0.145,-0.18,-0.00136,-0.01185,-0.09435,-2.71,Normal,None
37.637699,-121.914743,16.81,255.96,-0.432,-1.052,0.827,0.04751,0.00333,-0.08011,4.33,Normal,None
37.881818,-121.117976,19.73,101.89,-2.35,1.549,-0.291,-0.05459,-0.02648,0.09643,-0.59,Normal,None
37.880709,-121.048199,23.1,327.2,-2.169,-1.941,0.419,0.04552,-0.06131,-0.06065,3.93,Normal,None
37.725862,-121.822788,1.02,223.39,0.1,2.096,0.405,-0.0326,0.00841,-0.01661,-2.61,Normal,None
37.986753,-121.405812,11.77,151.42,2.396,2.193,0.42,0.09685,0.0156,-0.09248,-4.39,Normal,None
37.569586,-121.358738,18.46,81.05,0.955,-2.303,-0.161,0.02581,0.08412,0.09152,-4.27,Normal,None
37.613199,-121.152732,10.16,331.9,-1.794,0.605,0.722,-0.09554,0.06608,-0.03732,-2.35,Normal,None
37.244227,-121.129425,27.97,308.43,0.834,2.267,-0.543,0.00078,-0.05542,-0.04773,3.35,Normal,None
37.118124,-121.810968,27.04,207.53,-1.539,-0.199,-0.636,-0.08948,0.09831,0.00977,-3.27,Normal,None
37.967157,-121.743852,0.1,297.17,-1.813,2.562,-0.814,0.05088,-0.08056,-0.04867,0.63,Normal,None
37.833546,-121.382853,7.43,354.39,-2.296,-0.164,0.067,-0.01908,-0.09809,-0.07012,3.54,Normal,None
37.556776,-121.363219,6.07,185.26,-2.498,-1.327,0.324,0.05207,-0.01865,-0.00501,-3.61,Normal,None
37.679111,-121.540153,21.19,146.24,0.413,-1.512,-0.343,-0.09457,0.02778,0.06535,4.96,Normal,None
37.958029,-121.984054,18.35,146.81,0.609,-2.649,-0.643,0.07814,-0.02263,-0.00531,-3.22,Normal,None
37.597336,-121.634144,3.82,289.17,1.871,-0.078,-0.707,-0.03699,-0.03912,-0.03513,-0.56,Normal,None
37.821264,-121.66111,28.4,340.72,-1.667,-0.857,0.376,-0.06108,0.04338,0.04732,1.81,Normal,None
37.910907,-121.801094,25.01,354.59,-1.209,-2.375,-0.508,0.08116,-0.07776,-0.05342,3.02,Normal,None
37.503616,-121.431895,4.36,77.13,-2.842,0.818,-0.811,0.03239,0.06561,0.03364,4.79,Normal,None
37.753881,-121.149711,27.92,183.67,1.351,2.77,-0.145,-0.03319,0.04884,-0.01269,4.34,Normal,None
37.809851,-121.542267,4.74,268.43,2.344,-0.269,0.114,0.02817,-0.05984,-0.01606,2.96,Normal,None
37.523072,-121.998342,17.18,109.83,2.044,0.064,-0.392,-0.03911,0.0665,-0.00942,4.18,Normal,None
37.829661,-121.31708,22.03,70.31,1.893,2.42,-0.008,0.08155,-0.01594,0.09217,-1.18,Normal,None
37.85919,-121.0408,22.52,292.52,-1.892,0.766,-0.578,-0.05284,0.00087,0.02832,1.62,Normal,None
37.537434,-121.705612,2.07,291.28,-0.232,2.534,-0.465,-0.00633,0.09594,-0.04927,-1.6,Normal,None
37.527199,-121.742371,29.45,100.81,-2.672,2.5,-0.293,-0.03217,-0.06564,-0.06039,-1.04,Normal,None
37.528125,-121.71502,19.03,96.59,-0.91,-1.85,-0.86,-0.0209,0.00809,-0.04565,-3.08,Normal,None
