X,Y,Z,Intensity,Threat_Type,Attack_Severity
-27.288,-27.871,1.416,29.764,Normal,None
-22.96,11.427,-1.719,52.968,Normal,None
29.212,25.032,-2.911,156.031,Normal,None
-23.228,27.234,3.993,197.687,Normal,None
3.825,47.22,-2.673,108.473,Normal,None
26.894,-23.231,-2.958,172.577,Normal,None
47.638,-34.721,4.516,159.122,Normal,None
38.341,-40.194,-0.916,194.651,Normal,None
-41.032,-21.875,0.007,181.241,Normal,None
-30.136,-1.703,4.02,172.135,Normal,None
-25.322,15.185,4.613,83.744,Normal,None
48.255,30.883,-3.653,100.916,Normal,None
-27.967,-7.076,2.904,209.198,Normal,None
-29.138,-36.611,3.113,59.284,Normal,None
14.761,26.111,1.261,49.342,Normal,None
-31.354,34.883,3.183,105.065,Normal,None
-31.707,20.799,-1.388,118.162,Normal,None
-20.012,0.808,4.96,52.998,Normal,None
-1.307,-2.38,-3.621,6.237,Normal,None
14.598,-18.44,-3.992,242.548,Normal,None
-49.84,-9.838,-3.07,69.377,Normal,None
7.187,10.397,1.208,202.911,Normal,None
-31.589,40.964,0.685,67.665,Normal,None
-5.613,9.235,1.192,248.806,Normal,None
21.331,-36.358,0.637,90.21,Normal,None
-17.999,8.694,4.95,83.444,Normal,None
17.916,19.134,2.567,145.723,Normal,None
-43.969,33.763,1.437,104.741,Normal,None
45.196,-27.075,1.866,189.915,Normal,None
-5.94,-2.434,-4.57,58.76,Normal,None
5.893,39.839,2.116,51.607,Normal,None
-29.2,-16.069,-0.658,182.004,Normal,None
34.589,-11.631,-4.984,250.536,Normal,None
34.957,28.171,1.267,190.649,Normal,None
33.475,9.455,1.372,165.742,Normal,None
40.135,-27.03,0.191,10.131,Normal,None
41.462,45.569,-0.862,158.578,Normal,None
38.937,43.222,-3.847,158.801,Normal,None
-5.223,26.703,-3.363,199.729,Normal,None
-11.567,33.147,1.423,223.212,Normal,None
-23.087,-49.05,0.751,88.445,Normal,None
-41.448,7.851,-4.069,220.143,Normal,None
1.471,-19.581,-4.338,118.848,Normal,None
24.536,-28.912,2.42,190.993,Normal,None
-39.857,-37.421,-2.557,127.924,Normal,None
-46.252,5.915,4.416,107.683,Normal,None
-9.869,18.614,2.288,119.765,Normal,None
21.906,7.644,4.448,17.508,Normal,None
26.92,-21.212,2.14,29.819,Normal,None
9.664,-5.293,2.732,90.081,Normal,None
-8.823,-15.07,-1.144,218.228,Normal,None
40.348,-37.311,1.199,108.91,Normal,None
-22.893,-30.998,-1.264,2.933,Normal,None
-25.147,9.9,2.085,120.983,Normal,None
21.14,49.893,0.192,199.349,Normal,None
8.958,34.87,2.437,201.362,Normal,None
16.622,-19.536,-1.184,227.344,Normal,None
-3.058,38.96,0.892,219.967,Normal,None
-13.824,-9.588,-1.681,254.876,Normal,None
44.402,-32.51,1.182,99.682,Normal,None
31.23,-27.597,4.543,115.563,Normal,None
-21.62,25.155,1.435,127.406,Normal,None
-24.936,43.255,-4.942,174.872,Normal,None
-17.787,2.406,3.02,5.77,Normal,None
-6.943,-2.472,-0.015,56.23,Normal,None
26.458,39.825,1.26,226.987,Normal,None
19.812,-19.834,-4.234,130.283,Normal,None
8.057,13.873,-3.6,114.657,Normal,None
-35.417,-40.546,-2.469,93.44,Normal,None
-23.026,-19.773,-0.397,125.242,Normal,None
-48.397,-12.482,1.781,8.961,Normal,None
12.136,-27.182,-0.034,17.745,Normal,None
-13.802,24.172,-4.749,167.088,Normal,None
33.976,28.491,-0.466,47.865,Normal,None
19.067,-23.047,-3.046,36.511,Normal,None
-8.104,-42.686,-4.602,186.688,Normal,None
-28.158,2.216,-2.043,229.617,Normal,None
-39.225,42.359,2.148,198.617,Normal,None
15.07,20.409,-0.957,56.66,Normal,None
-48.959,-41.055,-4.781,185.637,Normal,None
-23.904,0.617,0.624,44.101,Normal,None
-13.377,46.754,-1.102,111.667,Normal,None
-47.761,43.812,-3.119,65.702,Normal,None
-27.186,32.192,3.676,49.584,Normal,None
-2.95,-6.768,1.02,14.184,Normal,None
-27.401,6.456,-0.244,220.073,Normal,None
-35.274,40.049,1.726,49.544,Normal,None
13.866,3.58,4.725,123.535,Normal,None
38.84,15.799,2.965,191.063,Normal,None
-16.983,-47.117,-1.831,190.505,Normal,None
46.758,20.26,1.799,157.765,Normal,None
26.073,2.395,0.353,186.131,Normal,None
19.898,-12.877,4.69,71.715,Normal,None
-9.946,38.269,-3.992,196.796,Normal,None
-10.638,14.643,0.588,190.912,Normal,None
27.776,-5.44,3.805,130.626,Normal,None
-37.111,-0.329,-3.193,161.825,Normal,None
-4.224,6.767,-4.304,7.086,Normal,None
-24.378,27.28,3.614,84.933,Normal,None
-39.128,-28.564,-1.662,67.219,Normal,None
45.028,41.228,2.175,227.103,Normal,None
-33.969,-10.636,1.603,17.822,Normal,None
49.535,14.667,-1.288,168.867,Normal,None
-3.07,29.481,0.478,31.737,Normal,None
-25.535,-41.768,-2.831,76.274,Normal,None
-0.724,-24.337,3.879,102.688,Normal,None
1.319,48.629,4.082,229.912,Normal,None
39.899,-0.902,-0.411,55.563,Normal,None
-34.517,-4.18,-1.722,93.149,Normal,None
-42.904,21.819,2.953,40.859,Normal,None
18.055,-25.375,4.152,69.492,Normal,None
27.8,42.602,-0.69,57.875,Normal,None
23.328,15.652,2.122,225.873,Normal,None
0.595,19.324,1.062,167.341,Normal,None
-26.584,-39.923,-4.14,121.634,Normal,None
-16.807,32.307,1.692,31.194,Normal,None
41.976,29.359,-0.189,69.002,Normal,None
-15.372,33.032,4.197,32.766,Normal,None
4.942,30.578,-2.589,207.958,Normal,None
-33.83,15.445,-2.032,176.786,Normal,None
-13.742,49.3,-2.963,190.903,Normal,None
42.591,22.086,1.049,243.635,Normal,None
-14.017,-32.449,-4.607,75.761,Normal,None
28.754,45.404,2.36,252.883,Normal,None
3.158,-31.868,-2.019,103.072,Normal,None
46.883,32.255,-1.468,179.138,Normal,None
-29.447,10.988,-3.78,231.694,Normal,None
-41.918,28.848,-4.49,67.886,Normal,None
18.128,-18.781,2.643,253.778,Normal,None
35.327,44.262,2.396,176.371,Normal,None
20.044,37.553,-0.152,117.174,Normal,None
2.893,-44.483,0.704,89.76,Normal,None
23.469,47.744,1.54,41.765,Normal,None
30.47,-37.976,1.732,71.911,Normal,None
-8.111,-37.075,-1.685,62.704,Normal,None
45.381,42.107,3.381,16.75,Normal,None
-35.116,33.173,4.826,115.738,Normal,None
-30.707,-6.491,-2.976,68.01,Normal,None
-48.831,-3.333,1.791,144.467,Normal,None
-15.002,-31.898,-1.54,53.355,Normal,None
14.431,-43.828,3.812,28.65,Normal,None
-15.97,18.141,-4.404,154.885,Normal,None
-7.795,-25.266,2.876,72.879,Normal,None
-28.369,9.325,1.061,75.328,Normal,None
-48.349,26.334,3.622,104.914,Normal,None
19.044,-10.776,-3.642,8.582,Normal,None
-2.855,-36.892,0.676,46.229,Normal,None
-41.023,11.4,4.859,167.28,Normal,None
-39.968,32.533,3.809,9.596,Normal,None
38.1,32.115,3.125,25.298,Normal,None
47.283,-37.186,2.61,186.35,Normal,None
-12.268,47.832,4.554,254.198,Normal,None
-26.863,26.753,-3.283,25.405,Normal,None
-10.227,24.905,-2.939,42.221,Normal,None
32.479,41.09,4.847,204.805,Normal,None
-5.062,-29.823,-4.319,148.497,Normal,None
-38.36,19.453,3.054,103.023,Normal,None
45.351,14.516,3.45,12.577,Normal,None
33.997,29.634,3.977,69.943,Normal,None
37.302,31.357,-4.026,66.199,Normal,None
-1.15,27.728,4.476,62.92,Normal,None
45.263,-13.018,-2.522,2.67,Normal,None
23.428,43.471,-4.588,23.598,Normal,None
-19.148,39.917,-2.587,161.296,Normal,None
-19.745,36.524,-4.652,154.076,Normal,None
18.981,31.284,-0.42,241.668,Normal,None
-15.001,-48.209,3.388,22.649,Normal,None
-30.717,-49.684,-4.708,164.467,Normal,None
2.455,-25.392,-4.429,38.786,Normal,None
-32.807,-35.856,0.677,62.178,Normal,None
-37.883,-22.974,3.193,47.694,Normal,None
8.39,23.861,0.874,47.015,Normal,None
-24.603,45.069,-3.866,18.321,Normal,None
9.078,27.803,0.219,0.263,Normal,None
-5.639,14.94,3.341,251.456,Normal,None
47.036,46.392,1.557,185.933,Normal,None
-45.247,-30.229,4.177,115.208,Normal,None
-43.856,-47.851,-3.968,137.287,Normal,None
3.492,-20.822,4.103,171.734,Normal,None
-4.26,-34.043,2.74,96.595,Normal,None
7.041,6.669,0.704,5.76,Normal,None
-23.842,-1.505,2.389,31.197,Normal,None
-49.558,6.93,4.018,190.393,Normal,None
-8.138,44.806,3.081,242.953,Normal,None
-31.019,-15.43,0.14,117.816,Normal,None
28.98,47.3,-2.774,127.252,Normal,None
-19.284,-10.986,-2.638,126.843,Normal,None
46.146,-37.636,4.758,20.19,Normal,None
-16.424,-31.793,-2.63,190.862,Normal,None
-20.607,-19.721,3.617,145.266,Normal,None
-3.231,49.134,-2.788,105.978,Normal,None
-36.716,-44.914,0.055,156.404,Normal,None
-0.948,-48.0,-3.706,104.537,Normal,None
-37.017,49.235,-3.382,41.247,Normal,None
49.046,-21.095,3.46,164.645,Normal,None
-47.615,-19.908,-1.763,184.223,Normal,None
-16.981,-16.578,-1.518,246.981,Normal,None
-6.281,13.946,0.431,63.151,Normal,None
36.901,44.522,-1.43,25.746,Normal,None
-47.806,7.464,-2.678,33.802,Normal,None
49.843,7.523,-4.843,131.956,Normal,None
48.711,27.182,1.889,67.562,Normal,None
-22.521,43.877,4.992,201.88,Normal,None
-49.053,7.231,-0.765,78.626,Normal,None
43.939,-35.133,0.812,138.517,Normal,None
14.833,-40.011,-1.731,98.851,Normal,None
15.372,4.399,2.543,146.857,Normal,None
-8.689,28.579,-1.831,63.255,Normal,None
-3.768,-5.331,-0.768,194.074,Normal,None
-41.856,-12.924,-1.326,105.074,Normal,None
12.508,41.943,-4.962,73.811,Normal,None
-34.905,42.628,1.369,98.958,Normal,None
-32.385,-38.017,2.234,192.506,Normal,None
37.776,-28.864,-0.119,84.914,Normal,None
-6.437,34.036,-0.049,242.383,Normal,None
-14.433,-28.36,-4.07,231.928,Normal,None
48.007,-12.902,-1.708,88.537,Normal,None
24.915,-24.837,-0.369,110.965,Normal,None
-49.803,-37.081,-0.111,202.647,Normal,None
36.379,3.236,3.201,44.0,Normal,None
-26.384,14.116,3.458,181.912,Normal,None
5.35,10.442,-0.241,35.259,Normal,None
-28.331,-18.288,0.447,47.796,Normal,None
-1.026,-40.71,0.483,134.153,Normal,None
46.594,-9.677,-0.756,138.696,Normal,None
13.689,-24.52,-2.031,55.256,Normal,None
-18.143,1.383,-0.569,208.997,Normal,None
49.335,-48.83,4.352,42.382,Normal,None
-37.066,-49.857,-0.672,220.716,Normal,None
-43.443,-48.423,-2.268,83.199,Normal,None
44.645,-7.479,3.813,204.682,Normal,None
46.895,-29.573,3.438,41.558,Normal,None
15.396,-42.245,-1.86,8.593,Normal,None
-29.281,-17.911,1.897,62.392,Normal,None
-39.686,20.187,1.923,132.293,Normal,None
-19.161,-43.424,0.818,194.087,Normal,None
42.138,-20.324,3.508,23.543,Normal,None
10.935,32.01,-3.246,168.487,Normal,None
15.846,-44.972,1.34,150.252,Normal,None
26.796,-30.971,-4.143,91.981,Normal,None
-28.649,-30.681,-0.906,52.481,Normal,None
-0.345,-36.555,-3.15,180.632,Normal,None
-28.439,2.815,2.298,38.868,Normal,None
36.253,-44.913,2.562,120.581,Normal,None
36.508,33.443,4.224,5.323,Normal,None
-7.003,-49.568,2.839,6.093,Normal,None
34.515,-28.674,-0.139,158.789,Normal,None
-21.189,2.39,-4.045,223.03,Normal,None
44.949,31.206,-1.293,11.259,Normal,None
25.296,-35.695,-0.075,45.781,Normal,None
3.086,-12.773,2.062,30.542,Normal,None
-8.773,-28.479,-1.24,120.366,Normal,None
4.731,19.29,-3.014,14.733,Normal,None
3.998,22.414,4.856,178.031,Normal,None
37.173,28.122,-0.495,106.171,Normal,None
-29.44,47.034,1.17,195.618,Normal,None
-8.56,-8.683,-2.675,240.036,Normal,None
20.929,43.025,-2.761,254.646,Normal,None
8.403,-19.969,0.419,55.858,Normal,None
-27.617,-3.619,1.111,166.21,Normal,None
-4.567,28.443,4.647,172.048,Normal,None
-33.26,24.13,2.826,56.696,Normal,None
9.584,14.609,3.665,115.204,Normal,None
-19.633,-28.402,-1.425,61.87,Normal,None
3.169,-15.934,-0.598,47.722,Normal,None
48.132,-6.469,3.433,81.724,Normal,None
4.384,49.183,2.515,20.559,Normal,None
-30.1,2.637,-4.584,229.221,Normal,None
-26.728,-41.705,4.193,8.034,Normal,None
31.257,30.601,-4.589,240.984,Normal,None
-4.449,12.558,3.859,163.557,Normal,None
-28.804,44.674,-0.751,10.802,Normal,None
-3.563,22.043,4.419,172.08,Normal,None
-43.908,34.078,-2.387,35.066,Normal,None
-24.259,-43.126,-0.403,205.238,Normal,None
-22.199,-27.373,2.045,227.309,Normal,None
-29.0,40.111,1.092,218.807,Normal,None
2.044,-34.685,4.599,116.919,Normal,None
-29.834,-3.791,-4.73,137.501,Normal,None
46.761,-0.303,4.062,109.445,Normal,None
45.245,-10.839,-2.664,16.407,Normal,None
-21.329,11.925,-3.418,151.446,Normal,None
-39.499,-10.642,2.991,13.438,Normal,None
44.311,-25.281,-1.35,36.866,Normal,None
-46.229,3.524,0.198,249.29,Normal,None
24.062,-19.238,-3.26,231.484,Normal,None
-36.154,-24.51,0.808,81.361,Normal,None
11.861,-49.39,0.608,150.958,Normal,None
24.966,-47.542,-1.084,61.979,Normal,None
27.565,-0.531,4.845,91.644,Normal,None
45.792,16.444,-4.16,199.566,Normal,None
-36.436,22.136,-0.065,144.508,Normal,None
5.967,27.368,-1.92,76.949,Normal,None
32.072,0.877,4.488,99.628,Normal,None
-38.888,14.569,-0.643,97.035,Normal,None
46.76,17.425,3.71,94.104,Normal,None
-21.767,37.828,-1.334,235.694,Normal,None
21.157,11.599,2.061,55.027,Normal,None
-25.04,-11.961,-3.421,27.363,Normal,None
7.421,31.446,1.506,78.246,Normal,None
6.581,42.883,1.864,236.616,Normal,None
-8.31,5.063,4.651,56.047,Normal,None
-24.396,-40.068,-0.901,43.702,Normal,None
49.904,40.307,1.504,20.663,Normal,None
37.017,-36.088,4.404,80.969,Normal,None
28.874,19.918,-4.284,18.166,Normal,None
7.677,10.055,3.567,49.538,Normal,None
30.306,-37.63,-3.065,160.669,Normal,None
17.49,33.439,1.314,208.668,Normal,None
19.267,44.146,-4.934,53.593,Normal,None
48.776,19.043,2.088,202.062,Normal,None
37.563,8.667,-0.51,24.097,Normal,None
-11.12,-16.637,0.751,179.285,Normal,None
7.58,2.24,2.438,161.194,Normal,None
-0.925,-32.3,-4.56,191.906,Normal,None
-43.173,-20.089,-3.637,241.365,Normal,None
-41.379,46.641,1.629,92.148,Normal,None
27.546,6.191,-1.161,73.881,Normal,None
45.714,-49.738,2.679,119.807,Normal,None
-14.237,-46.475,-2.538,127.475,Normal,None
-15.598,41.572,4.358,246.519,Normal,None
-9.867,-46.491,-2.869,44.574,Normal,None
2.999,-42.079,0.361,78.203,Normal,None
-43.887,-0.983,-2.001,110.5,Normal,None
4.348,38.113,2.411,11.339,Normal,None
33.937,43.001,-0.883,74.941,Normal,None
15.045,7.554,-3.536,214.99,Normal,None
-24.133,-4.247,3.524,129.371,Normal,None
-11.512,33.244,-3.785,219.237,Normal,None
6.01,-13.11,0.415,230.676,Normal,None
-25.891,7.328,3.127,73.252,Normal,None
36.129,-49.54,0.279,198.262,Normal,None
-27.412,46.684,2.967,43.545,Normal,None
19.113,-30.854,-1.303,25.951,Normal,None
-29.658,22.832,3.731,242.575,Normal,None
-45.311,-39.076,0.201,199.069,Normal,None
-16.306,22.631,0.395,194.848,Normal,None
38.133,19.394,4.485,25.203,Normal,None
-35.16,26.963,-0.32,102.855,Normal,None
30.674,-5.066,1.715,60.689,Normal,None
47.52,35.367,-3.122,247.551,Normal,None
-44.149,-30.233,-1.762,87.868,Normal,None
34.033,-18.808,1.348,225.177,Normal,None
-49.845,-12.197,4.29,183.481,Normal,None
5.751,17.338,2.925,185.291,Normal,None
-34.249,-32.854,0.105,84.467,Normal,None
26.144,-34.202,1.731,218.727,Normal,None
46.648,-7.769,3.461,189.829,Normal,None
5.423,43.375,1.567,81.204,Normal,None
8.27,39.834,2.332,75.156,Normal,None
32.853,-14.668,1.494,198.876,Normal,None
-44.84,-20.451,1.563,31.95,Normal,None
37.381,-29.91,1.051,181.594,Normal,None
32.57,-37.857,3.482,68.739,Normal,None
48.994,-37.996,3.619,181.63,Normal,None
15.651,8.701,1.68,174.758,Normal,None
-2.751,-8.127,4.752,132.528,Normal,None
20.635,20.452,-1.138,27.143,Normal,None
-44.558,-29.814,-3.909,66.781,Normal,None
-29.261,-34.446,3.351,185.463,Normal,None
6.619,-47.409,3.522,204.936,Normal,None
28.286,49.673,-2.118,182.439,Normal,None
-19.177,-23.496,-4.492,220.558,Normal,None
19.111,29.951,-2.18,224.715,Normal,None
-3.696,-14.145,-4.606,70.29,Normal,None
29.352,-26.625,2.624,27.368,Normal,None
5.492,-31.256,2.347,145.666,Normal,None
-0.533,13.976,-2.685,147.64,Normal,None
17.399,-11.057,3.08,166.433,Normal,None
24.285,1.137,-2.819,48.795,Normal,None
-19.383,-34.551,1.049,64.831,Normal,None
-47.718,-42.826,1.866,215.757,Normal,None
0.697,-36.37,4.557,116.333,Normal,None
-28.558,22.125,2.914,176.447,Normal,None
-8.494,-46.852,-2.802,53.719,Normal,None
-5.507,6.157,-2.41,50.557,Normal,None
5.658,-6.295,-3.599,45.64,Normal,None
31.119,14.743,-3.273,9.532,Normal,None
9.765,-22.643,-4.792,54.782,Normal,None
-21.9,-6.087,-1.208,231.904,Normal,None
49.047,-23.225,0.218,229.628,Normal,None
-20.241,-3.5,-3.233,112.82,Normal,None
1.143,-30.106,-1.683,229.803,Normal,None
-31.382,-36.318,-4.453,14.295,Normal,None
27.063,3.117,-2.79,72.824,Normal,None
-12.072,0.945,-3.118,46.941,Normal,None
-3.669,-25.197,-2.05,7.068,Normal,None
-25.13,9.47,2.164,125.026,Normal,None
-41.893,-47.107,3.862,98.705,Normal,None
15.433,42.696,4.844,137.172,Normal,None
-31.225,36.125,-0.271,221.171,Normal,None
19.398,36.387,2.191,38.146,Normal,None
24.654,-15.75,-4.541,79.626,Normal,None
-41.906,-2.516,2.155,3.164,Normal,None
42.515,-14.851,1.331,82.796,Normal,None
6.066,-23.026,-4.789,234.683,Normal,None
10.082,3.404,-0.802,211.447,Normal,None
12.401,3.988,1.126,44.328,Normal,None
34.351,31.92,-4.771,95.952,Normal,None
4.341,-14.896,-3.605,12.692,Normal,None
-38.149,33.581,-1.255,78.82,Normal,None
-4.16,-30.927,2.157,17.616,Normal,None
-20.656,11.252,0.245,104.819,Normal,None
-3.351,-17.325,2.551,28.019,Normal,None
21.845,45.023,4.531,30.67,Normal,None
29.816,-37.131,-1.375,90.386,Normal,None
20.994,14.007,-4.499,81.224,Normal,None
15.114,-45.615,-4.443,36.496,Normal,None
33.362,23.485,-4.254,100.12,Normal,None
42.338,41.383,-2.901,77.151,Normal,None
27.856,49.306,-3.808,37.762,Normal,None
-38.177,19.752,2.646,246.24,Normal,None
-10.015,8.107,1.095,67.841,Normal,None
29.99,-4.727,-2.404,84.89,Normal,None
24.477,-35.227,1.789,100.281,Normal,None
-31.876,-8.103,-1.391,139.801,Normal,None
-16.475,28.381,1.744,202.428,Normal,None
31.584,46.138,4.064,194.817,Normal,None
-31.142,12.163,1.216,197.953,Normal,None
-26.819,-43.526,0.493,5.786,Normal,None
24.094,-49.913,-1.795,109.2,Normal,None
37.191,-7.737,0.164,166.567,Normal,None
-36.14,17.525,3.127,78.285,Normal,None
26.928,-44.399,4.257,229.48,Normal,None
-32.132,35.675,4.447,11.363,Normal,None
-11.378,42.558,-4.813,217.98,Normal,None
2.286,11.411,4.528,78.521,Normal,None
8.825,-21.765,3.959,0.634,Normal,None
47.153,-36.905,0.49,239.004,Normal,None
47.216,18.243,-3.344,73.678,Normal,None
5.53,17.791,-4.419,27.42,Normal,None
-26.139,5.845,-2.947,84.359,Normal,None
-22.55,-8.749,2.749,229.39,Normal,None
-48.234,-17.605,-1.986,64.761,Normal,None
7.533,8.848,2.627,37.576,Normal,None
26.22,-15.058,2.973,121.204,Normal,None
45.339,-4.576,-2.39,179.634,Normal,None
4.481,-18.899,3.428,222.917,Normal,None
38.654,-41.537,2.322,240.417,Normal,None
11.835,22.943,0.918,147.532,Normal,None
41.352,-12.245,-2.694,168.521,Normal,None
23.84,-4.16,-0.019,162.994,Normal,None
25.408,4.092,-4.861,188.792,Normal,None
-49.261,48.558,3.679,79.813,Normal,None
-39.075,26.941,-1.658,79.187,Normal,None
1.784,47.228,0.219,27.432,Normal,None
39.651,-45.351,-2.124,72.34,Normal,None
-32.36,47.993,-2.06,89.771,Normal,None
-18.896,-25.117,-3.849,131.294,Normal,None
-18.823,36.466,-0.262,243.87,Normal,None
27.61,12.577,-4.698,14.728,Normal,None
-8.526,-29.269,-0.78,134.288,Normal,None
-35.997,44.445,3.275,45.061,Normal,None
1.47,47.96,1.268,249.925,Normal,None
-15.371,-10.408,-3.644,50.997,Normal,None
19.433,16.58,-2.433,253.32,Normal,None
-46.268,-33.693,-3.087,119.54,Normal,None
42.348,-25.047,4.321,123.573,Normal,None
-1.458,-22.929,-2.704,253.556,Normal,None
36.615,-29.3,-4.518,131.536,Normal,None
-3.243,-18.932,0.813,184.13,Normal,None
-21.622,-9.709,-2.453,246.47,Normal,None
-7.116,-38.845,1.594,155.411,Normal,None
-3.927,17.691,-4.49,173.438,Normal,None
-18.754,33.847,-1.068,228.849,Normal,None
-7.659,14.823,-1.568,98.141,Normal,None
27.676,-46.845,-4.591,184.962,Normal,None
37.504,-26.144,-3.787,25.858,Normal,None
-42.694,18.664,-0.464,107.096,Normal,None
43.552,42.864,0.371,228.912,Normal,None
19.707,36.838,-1.474,110.616,Normal,None
41.017,-6.903,1.218,86.898,Normal,None
-20.573,30.404,-2.488,222.052,Normal,None
-46.029,19.747,4.612,230.029,Normal,None
-46.887,-49.327,-3.671,70.599,Normal,None
-7.11,5.014,-3.249,178.734,Normal,None
26.29,-29.067,-4.699,140.066,Normal,None
13.805,38.222,2.346,138.773,Normal,None
36.766,46.431,3.372,161.087,Normal,None
27.04,-33.061,-0.82,140.302,Normal,None
-17.778,-18.413,4.892,104.817,Normal,None
-2.728,-24.402,0.853,183.371,Normal,None
15.252,18.982,1.433,126.801,Normal,None
-7.409,8.76,-3.472,24.363,Normal,None
9.619,49.182,1.689,72.185,Normal,None
-24.994,-33.39,1.318,210.917,Normal,None
21.448,30.374,-0.71,210.92,Normal,None
5.862,8.599,3.087,229.076,Normal,None
43.663,-11.583,-0.438,50.251,Normal,None
-35.65,-12.989,-2.909,45.958,Normal,None
-49.876,30.331,4.012,105.189,Normal,None
-1.426,31.839,-4.343,154.805,Normal,None
2.927,26.857,-2.777,202.026,Normal,None
-28.016,-23.787,3.845,145.294,Normal,None
46.493,-49.731,-3.72,24.037,Normal,None
14.677,-13.747,-2.449,97.025,Normal,None
43.336,16.212,-0.507,181.227,Normal,None
2.294,40.935,-4.938,155.288,Normal,None
11.782,-13.142,-3.164,194.912,Normal,None
20.312,7.415,2.144,72.039,Normal,None
10.82,-23.303,-0.854,152.948,Normal,None
43.808,-11.751,-4.969,250.695,Normal,None
-36.842,28.204,-4.107,29.556,Normal,None
-4.424,39.412,-0.698,9.397,Normal,None
26.112,30.955,0.718,198.717,Normal,None
3.769,4.304,1.23,107.45,Normal,None
-0.365,-27.751,2.476,123.87,Normal,None
5.671,-27.158,0.636,253.398,Normal,None
-43.771,18.778,-4.316,95.705,Normal,None
-47.889,-36.671,-1.895,19.277,Normal,None
-23.883,0.565,-3.494,43.542,Normal,None
47.575,-12.616,0.197,196.488,Normal,None
1.541,-45.999,4.785,47.54,Normal,None
0.079,3.466,2.797,124.905,Normal,None
44.702,-20.957,-4.008,42.068,Normal,None
42.631,30.243,0.623,195.036,Normal,None
-35.563,-17.167,3.635,200.489,Normal,None
-8.946,1.398,-4.392,227.799,Normal,None
41.88,-30.931,0.222,2.654,Normal,None
-47.269,-34.966,4.224,220.879,Normal,None
41.363,21.319,4.439,71.0,Normal,None
10.317,41.006,4.584,40.009,Normal,None
44.548,5.219,-2.973,222.596,Normal,None
14.736,-24.633,-1.836,236.84,Normal,None
36.183,-0.685,-2.635,181.6,Normal,None
38.224,11.84,-1.57,97.901,Normal,None
-43.776,40.749,3.341,23.159,Normal,None
26.073,32.442,2.492,112.165,Normal,None
10.072,-11.571,-3.503,42.991,Normal,None
36.975,-24.253,-0.192,150.045,Normal,None
